SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,August-30-2023,Condo/Co-op,1100 E Harrison St #201,Seattle,WA,98102,630000,2.0,2.0,Capitol Hill,990,,1987.0,,636,675.0,Sold,,,https://www.redfin.com/WA/Seattle/1100-E-Harrison-St-98102/unit-201/home/40058,NWMLS as Distributed by MLS Grid,2148369.0,N,Y,47.6221832,-122.31754939999999,"This prime Capitol Hill corner unit boasts a spacious, light-filled interior with an open kitchen, dining and living area that leads to a covered balcony. The remodeled  kitchen features quartz counters, new cabinets and stainless LG and Samsung appliances. Recent upgrades include new washer/ dryer, water heater, blinds, a remodeled hall bath with quartz countertop and new vanity as well as new carpet throughout. The generous primary suite offers ample closet space and an en suite bath with soaking tub. The second bedroom opens to the covered balcony. Secure garage parking and storage unit included. Located on a quiet tree-lined street yet minutes away from coffee, restaurants, public transportation and SLU. Show less"
PAST SALE,March-17-2023,Condo/Co-op,400 Boylston Ave E #308,Seattle,WA,98102,389000,1.0,1.0,Broadway,568,,1931.0,,685,505.0,Sold,,,https://www.redfin.com/WA/Seattle/400-Boylston-Ave-E-98102/unit-308/home/17909,NWMLS as Distributed by MLS Grid,2035649.0,N,Y,47.6221441,-122.3228386,"Pristine Park Lane Place stands out as one of Capitol Hill’s most stunning buildings with its ivy-laden golden brick walls, courtyard, and surrounding magnificent magnolia trees. The Art Deco lobby showcases original paneling and fireplace. Take in gorgeous sunsets and views of downtown from this incredible west-facing corner unit with newly refinished hardwood floors, fresh paint, original mahogany trim and kitchen cabinets. HOA dues include on-site manager, electricity (heat), water, sewer, garbage, secure garage parking, storage space, & bike room. 2 pets allowed. Peaceful and quiet, yet only blocks to grocery, wonderful restaurants/bars, & light rail. Well managed building w/ strong reserves. Your ideal city life awaits! Show less"
PAST SALE,December-22-2022,Condo/Co-op,730 Bellevue Ave E #405,Seattle,WA,98102,385000,1.0,1.0,Broadway,665,,1969.0,,579,653.0,Sold,,,https://www.redfin.com/WA/Seattle/730-Bellevue-Ave-E-98102/unit-405/home/7316,NWMLS as Distributed by MLS Grid,2019633.0,N,Y,47.6259302,-122.32631529999999,"Welcome to La Pergola Condos designed by award-winning architect A.O. Bumgardner in 1969. Just minutes from some of Capitol Hill’s best parks, shops, eateries, and nightlife. This 4th-floor unit features a west-facing private balcony, floor-to-ceiling windows, wood burning fireplace, new lighting & fresh paint throughout. Off-street parking behind the building and secured access with intercom & elevator. Exterior envelope refresh in 2012 w/new siding, windows, sliding doors & decks. Fantastic views of Gas Works Park, Lake Union, downtown & Olympic Mountains from the rooftop deck. Well-managed HOA, Pet friendly. Seller Offering a credit of $10,000 towards new flooring and appliances. Show less"
PAST SALE,October-4-2023,Condo/Co-op,2345 Boylston Ave E #301,Seattle,WA,98102,599950,2.0,2.0,Eastlake,980,,1979.0,,612,308.0,Sold,,,https://www.redfin.com/WA/Seattle/2345-Boylston-Ave-E-98102/unit-301/home/31622,NWMLS as Distributed by MLS Grid,2153790.0,N,Y,47.6410579,-122.32377029999999,"Looking for the perfect oasis in the city? Look no further, this beautifully renovated 2 bdrm corner view condo has it all! Conveniently located blocks from Eastlake’s shopping/restaurant districts, popular parks, SLU, downtown, UW, and freeways. Be greeted by stunning bamboo floors throughout that pull you into the generous living spaces. Set the mood with the cozy fireplace during the colder months. A modern kitchen ideal for entertaining, offering stainless appliances, plenty of counter space and ample storage. Take in the city skyline and Lake Union views as you relax on the balcony after a long day. Large primary suite w/bath + walk-in closet, a 2nd bedroom, full bath, & in-unit laundry finish off this spacious home. 2 parking spaces. Show less"
PAST SALE,August-18-2023,Condo/Co-op,530 Broadway E #610,Seattle,WA,98102,525000,1.0,1.0,Capitol Hill,656,,2007.0,,800,484.0,Sold,,,https://www.redfin.com/WA/Seattle/530-Broadway-E-98102/unit-610/home/21617362,NWMLS as Distributed by MLS Grid,2140431.0,N,Y,47.623758,-122.32076880000001,"Enjoy ultimate urban luxury at BRIX, one of Capitol Hill’s most coveted buildings. Rare top floor unit w/ a true 1 bedroom layout, desirable large east-facing windows, hardwood floors, SS appliances, walk-in closet, in-unit laundry & large soaking tub, & a balcony w/ Mt. Rainier views & overlooking the lush courtyard. Recently updated lobby & an amazing rooftop deck w/ a BBQ area, breathtaking views of the city, Mt Rainier, & the Space Needle. Secure garage parking, separate storage room, pet friendly, & a well funded HOA w/ on-site facilities manager. Coffee shop right outside the front door, ample nearby shopping/dining options, just 3 blocks to the light rail, proximity to Volunteer Park, SLU & Downtown, with a Walk Score of 97! Show less"
PAST SALE,April-25-2023,Condo/Co-op,400 Boylston Ave E #403,Seattle,WA,98102,519900,1.0,1.0,Broadway,682,,1931.0,,762,551.0,Sold,,,https://www.redfin.com/WA/Seattle/400-Boylston-Ave-E-98102/unit-403/home/54414,NWMLS as Distributed by MLS Grid,2044310.0,N,Y,47.6221441,-122.3228386,"Welcome to the highly sought after Park Lane building! This SE facing top floor corner unit is a showstopper! You’ll enjoy city views from every room and appreciate the beautiful period details, which include leaded glass windows, mahogany doors/trim, built-ins and stunning hardwood floors. You’ll love entertaining in the updated kitchen that opens out to the airy living room flooded in natural light. In addition to the primary bedroom, there is a charming office/den/2nd bedroom! Ample closet space. Located on a tree-lined street this prime location is blocks away from Capitol Hill’s vibrant shopping/restaurant districts, the Light Rail station, SLU, downtown, grocery stores, and parks. One secured parking space and storage unit included. Show less"
PAST SALE,May-11-2023,Condo/Co-op,210 Boylston Ave E #205,Seattle,WA,98102,660000,2.0,2.0,Broadway,1091,,1978.0,,605,476.0,Sold,,,https://www.redfin.com/WA/Seattle/210-Boylston-Ave-E-98102/unit-205/home/29394,NWMLS as Distributed by MLS Grid,2054588.0,N,Y,47.620512,-122.3228165,"Welcome home! Gorgeously remodeled 2 Bedroom condo in the heart of Capitol Hill. Large open kitchen with new appliances, beautiful backsplash and quartz counters. Large bathroom and walk in closet off of primary suite. Newer engineered hardwood floors in main living area. In unit laundry, as well as a 50 gallon hot water heater. Shared courtyard with BBQ. Just blocks away from Light Rail, this is the perfect Capitol Hill condo. Show less"
PAST SALE,June-13-2023,Condo/Co-op,3217 Eastlake Ave E #310,Seattle,WA,98102,561000,1.0,2.0,Eastlake,1025,,2004.0,,547,528.0,Sold,,,https://www.redfin.com/WA/Seattle/3217-Eastlake-Ave-E-98102/unit-310/home/24642,NWMLS as Distributed by MLS Grid,2063128.0,N,Y,47.6511005,-122.3219767,"Welcome to this meticulously-maintained home located on Eastlake Ave - just steps away from Lake Union, waterfront parks, & Burke-Gilman Trail. This beautiful 1 bed plus bonus room/den/office & 1.75 bath home has everything you could ask for. Featuring a gorgeous kitchen w/ granite counters, large living room with a cozy gas fireplace & balcony for entertaining, 9' tall ceilings, and new carpet. Spacious primary w/ en suite & dual closets. In-unit laundry with ample storage throughout. Secure garage with parking space & storage unit. Natural gas, water/sewer & garbage included in HOA dues. Easy access to I-5, 520, light rail, shops &restaurants. Short commute to downtown, South Lake Union, UW, & Eastside. Make this gorgeous home your own! Show less"
PAST SALE,June-23-2023,Single Family Residential,2031 Boylston Ave E Unit A,Seattle,WA,98102,876000,4.0,2.5,Eastlake,2220,2189.0,1921.0,,395,,Sold,,,https://www.redfin.com/WA/Seattle/2031-Boylston-Ave-E-98102/unit-A/home/132209,NWMLS as Distributed by MLS Grid,2066587.0,N,Y,47.6376424,-122.32387479999998,"This is a great opportunity for investors looking for rental income or the possibility of midrise commercial development with MR(M1) zoning making this a great investment opportunity. If you need multigenerational living the main floor features kitchen, formal dining, living room & powder room. Upstairs has 3 spacious bedrooms and full bath. Lower level has separate entry to kitchen & living room, full bath and bedroom. Beautifully landscaped front yard and one covered parking spot in the rear. The location is highly desirable, with a walk score rating of 87 and easy access to South Lake Union, UW, I-5, 520, and downtown. Don't miss out on this unique opportunity! Show less"
PAST SALE,July-21-2023,Condo/Co-op,752 Bellevue Ave E #302,Seattle,WA,98102,310000,1.0,1.0,Broadway,446,,1956.0,,695,327.0,Sold,,,https://www.redfin.com/WA/Seattle/752-Bellevue-Ave-E-98102/unit-302/home/21616545,NWMLS as Distributed by MLS Grid,2074350.0,N,Y,47.626676700000004,-122.32618870000002,"Welcome to Mode Condos in the heart of Cap Hill! A Chic Mid-Century building with a modern twist. Top floor unit with tons of light, hardwood flooring, modern kitchen with SS appliances. Spacious bedroom with double closets and in-unit laundry. With The Lookout Bar across the street, Finch & Pine 1/2 block away, Harry's Fine Foods on the next block, & Single Shot, Cornelly's Pizza, & Summit Foods just around the corner, it's no wonder this home has a Walkscore of 85. Close to the #4 & #49 Bus, light rail, Volunteer Park, North Cap Hill shopping, & so much more! Community BBQ area. Pet Friendly. Gated secure entrance and storage locker. Seller has a leased parking space at Sir Galahad Apts which can be transferred to the buyer if desired. Show less"
