SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-22-2023,Single Family Residential,3736 SW Austin St,Seattle,WA,98126,815000,2,2.0,Gatewood,1480,4080,1945,,551,,Sold,,,https://www.redfin.com/WA/Seattle/3736-SW-Austin-St-98126/home/468544,NWMLS as Distributed by MLS Grid,2058799,N,Y,47.5351462,-122.3808827
PAST SALE,July-21-2023,Single Family Residential,3019 SW Thistle St,Seattle,WA,98126,910000,3,2.5,West Seattle,2110,7200,1988,,431,,Sold,,,https://www.redfin.com/WA/Seattle/3019-SW-Thistle-St-98126/home/473238,NWMLS as Distributed by MLS Grid,2127325,N,Y,47.5280699,-122.3721149
PAST SALE,July-7-2023,Single Family Residential,3211 SW 97th St,Seattle,WA,98126,509000,2,1.0,Arbor Heights,810,7980,1942,,628,,Sold,,,https://www.redfin.com/WA/Seattle/3211-SW-97th-St-98126/home/155606,NWMLS as Distributed by MLS Grid,2127278,N,Y,47.5164335,-122.3740376
PAST SALE,April-10-2023,Single Family Residential,2812 SW Graham St,Seattle,WA,98126,850000,3,3.0,High Point,2440,2257,2006,,348,99,Sold,,,https://www.redfin.com/WA/Seattle/2812-SW-Graham-St-98126/home/2115505,NWMLS as Distributed by MLS Grid,2036870,N,Y,47.547411,-122.3697712
PAST SALE,October-24-2023,Single Family Residential,2728 SW Holden St,Seattle,WA,98126,912500,3,2.5,West Seattle,1940,4566,2017,,470,,Sold,,,https://www.redfin.com/WA/Seattle/2728-SW-Holden-St-98126/home/170481247,NWMLS as Distributed by MLS Grid,2158368,N,Y,47.5348817,-122.3676025
PAST SALE,March-17-2023,Townhouse,9249 35th Ave SW Unit D,Seattle,WA,98126,585000,2,2.0,Fauntleroy,1320,824,2020,,443,,Sold,,,https://www.redfin.com/WA/Seattle/9249-35th-Ave-SW-98126/unit-D/home/174038259,NWMLS as Distributed by MLS Grid,2032337,N,Y,47.5195412,-122.3773271
PAST SALE,July-27-2023,Condo/Co-op,2830 SW Raymond St #304,Seattle,WA,98126,505000,2,2.0,High Point,1039,,2007,,486,615,Sold,,,https://www.redfin.com/WA/Seattle/2830-SW-Raymond-St-98126/unit-304/home/25723789,NWMLS as Distributed by MLS Grid,2073444,N,Y,47.5481511,-122.3691203
PAST SALE,September-29-2023,Condo/Co-op,3421 SW Roxbury St #404,Seattle,WA,98126,374600,2,2.0,Arbor Heights,976,,1981,,384,653,Sold,,,https://www.redfin.com/WA/Seattle/3421-SW-Roxbury-St-98126/unit-404/home/14303,NWMLS as Distributed by MLS Grid,2154061,N,Y,47.5171143,-122.3764327
PAST SALE,August-30-2023,Single Family Residential,7903 32nd Ave SW,Seattle,WA,98126,695000,3,1.5,Westwood,1350,5248,1941,,515,,Sold,,,https://www.redfin.com/WA/Seattle/7903-32nd-Ave-SW-98126/home/472822,NWMLS as Distributed by MLS Grid,2133177,N,Y,47.5317645,-122.3742257
PAST SALE,January-30-2023,Townhouse,3062 SW Avalon Way Unit F,Seattle,WA,98126,630000,2,2.0,Fairmount,1467,578,2018,,429,40,Sold,,,https://www.redfin.com/WA/Seattle/3062-SW-Avalon-Way-98126/unit-F/home/144466719,NWMLS as Distributed by MLS Grid,2019585,N,Y,47.5659767,-122.3722094
PAST SALE,September-5-2023,Townhouse,6552 High Point Dr SW,Seattle,WA,98126,634000,2,2.5,High Point,1380,1132,2014,,459,222,Sold,,,https://www.redfin.com/WA/Seattle/6552-High-Point-Dr-SW-98126/home/18661566,NWMLS as Distributed by MLS Grid,2133174,N,Y,47.54325,-122.3680113
PAST SALE,March-3-2023,Single Family Residential,7336 32nd Ave SW,Seattle,WA,98126,530000,2,1.0,West Seattle,830,5040,1942,,639,,Sold,,,https://www.redfin.com/WA/Seattle/7336-32nd-Ave-SW-98126/home/472145,NWMLS as Distributed by MLS Grid,2012529,N,Y,47.5362526,-122.3735875
PAST SALE,January-10-2023,Single Family Residential,4149 32nd Ave SW,Seattle,WA,98126,675000,3,2.0,Fairmount,1150,6860,1951,,587,,Sold,,,https://www.redfin.com/WA/Seattle/4149-32nd-Ave-SW-98126/home/159571,NWMLS as Distributed by MLS Grid,1993266,N,Y,47.5653314,-122.3739823
PAST SALE,February-17-2023,Condo/Co-op,6055 35th Ave SW #202,Seattle,WA,98126,390000,2,2.0,Fairmount,921,,1979,,423,372,Sold,,,https://www.redfin.com/WA/Seattle/6055-35th-Ave-SW-98126/unit-202/home/31414,NWMLS as Distributed by MLS Grid,1992375,N,Y,47.5467819,-122.3767238
PAST SALE,July-5-2023,Single Family Residential,4724 37th Ave SW,Seattle,WA,98126,550000,2,1.0,Alaska Junction,1650,4255,1918,,333,,Sold,,,https://www.redfin.com/WA/Seattle/4724-37th-Ave-SW-98126/home/471374,NWMLS as Distributed by MLS Grid,2135505,N,Y,47.560203,-122.3785713
PAST SALE,,Townhouse,6338 35th Ave SW Unit A,Seattle,WA,98126,595000,3,2.5,,1540,1540,2007,,386,,,,,https://www.redfin.com/WA/Seattle/6338-35th-Ave-SW-98126/unit-A/home/12318783,,,N,Y,47.545336,-122.374575
PAST SALE,,Single Family Residential,9240 30th Ave SW,Seattle,WA,98126,300000,2,2.0,,966,7800,1954,,311,,,,,https://www.redfin.com/WA/Seattle/9240-30th-Ave-SW-98126/home/472547,,,N,Y,47.5198494,-122.3710373
PAST SALE,February-7-2023,Condo/Co-op,3008 SW Cloverdale St,Seattle,WA,98126,630000,2,2.5,Westwood,1112,1866,2023,,567,50,Sold,,,https://www.redfin.com/WA/Seattle/3008-SW-Cloverdale-St-98126/home/183899590,NWMLS as Distributed by MLS Grid,2029611,N,Y,47.5266598,-122.371795
