SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,August-29-2023,Single Family Residential,806 NW 54th St Unit A,Seattle,WA,98107,655000,2.0,2.0,Seattle,1640,1341.0,1952.0,,399,,Sold,,,https://www.redfin.com/WA/Seattle/806-NW-54th-St-98107/unit-A/home/17382404,NWMLS as Distributed by MLS Grid,2149359.0,N,Y,47.6680562,-122.36671570000001,"Absolutely adorable mid-century brick townhouse in the West Woodland neighborhood of Ballard. This end-unit home gets abundant natural light & features hardwood floors, fresh paint throughout, updated double-pane windows, large private detached garage for parking & gear! Great layout with dedicated dining space off the spacious living room & cute updated kitchen with butcher block counters. Main floor has 2 bedrooms & full bath. Downstairs, find new flooring throughout, w/ spacious rec room, wet bar + island (potential for 2nd kitchen/ADU), 3/4 bath, laundry, storage galore! No HOA or rental restrictions. Amazing Ballard location close to breweries, restaurants, cafes, parks, schools, shopping, farmer's market, public transit (28 & 44 bus)! Show less"
PAST SALE,August-8-2023,Condo/Co-op,6110 24th Ave NW #201,Seattle,WA,98107,509000,2.0,2.0,Ballard,789,,1968.0,,645,441.0,Sold,,,https://www.redfin.com/WA/Seattle/6110-24th-Ave-NW-98107/unit-201/home/144834824,NWMLS as Distributed by MLS Grid,2136555.0,N,Y,47.673595500000005,-122.3871271,"This beautifully updated, light-filled SW corner unit in the Olympic View condos in Ballard is the one you have been waiting for! This stunning home is move-in ready! Lovely remodeled kitchen including a Bertazonni induction range, Blomberg fridge, Beko dishwasher, and quartz counter tops. Bathrooms have been remodeled as well, with tile shower surrounds, new vanities and Grohe faucets. Entertain with ease in the spacious living room with large balcony and dining room with built-in benches (with storage)! Hard surface (laminate hardwood and tile) throughout. Dedicated off street parking space, storage unit, and convenient laundry room in the hall. Building has bike storage and rec room. Amazing location near all neighborhood amenities! Show less"
PAST SALE,January-3-2023,Condo/Co-op,1738 NW 58th St #103,Seattle,WA,98107,472000,2.0,2.0,Ballard,808,,1987.0,,584,380.0,Sold,,,https://www.redfin.com/WA/Seattle/1738-NW-58th-St-98107/unit-103/home/2119022,NWMLS as Distributed by MLS Grid,2019548.0,N,Y,47.6711499,-122.3805486,"Not only is this a gorgeous, lovingly-maintained, spacious condo with a bathroom for each bedroom (never share again!), fresh paint, new floors, and one-year-old appliances, it’s also only blocks away from incredible downtown Ballard! Ballard is home to some of Seattle’s best restaurants, nightlife, and award-winning farmers market, not to mention Golden Gardens and Ballard Locks. Set back from the street and above ground level, this home lives larger than its sf and will give you all the peace & quiet you need. Well-run HOA keeps a good eye on the  building-replaced the roof in 2021. In-unit W/D, secure garage parking & storage, a shared patio, and two guest parking spots put the bow on this absolute gem of a condo. Best value in Ballard! Show less"
PAST SALE,August-22-2023,Condo/Co-op,5650 24th Ave NW #407,Seattle,WA,98107,479000,1.0,1.0,Ballard,698,,2007.0,,686,475.0,Sold,,,https://www.redfin.com/WA/Seattle/5650-24th-Ave-NW-98107/unit-407/home/12448338,NWMLS as Distributed by MLS Grid,2147344.0,N,Y,47.6695536,-122.3871988,"Fantastic opportunity to live one of the best buildings that Ballard has to offer, welcome to Noma Condominiums.  Located on the 4th floor, this light and bright 1 bed unit will impress.  Features include granite kitchen counters, breakfast bar, S/S appliances, and a full size in-unit washer/dryer.  Spacious living room, floor to ceiling windows, built-in entertainment center and private outdoor patio.  Large walk-in closet & wall mounted A/C unit.  Amenities include on site manager, rooftop garden w/panoramic views, courtyard, media, conference & fitness rooms.  Comes with separate storage unit and reserved parking space in secured garage. Well run community and  no rental cap! Show less"
PAST SALE,December-29-2022,Condo/Co-op,1525 NW 57th St #210,Seattle,WA,98107,499000,1.0,1.0,Ballard,879,,2000.0,,568,472.0,Sold,,,https://www.redfin.com/WA/Seattle/1525-NW-57th-St-98107/unit-210/home/58699,NWMLS as Distributed by MLS Grid,2018870.0,N,Y,47.669914899999995,-122.3774767,"Stunning remodel by Urb Interiors in an incredible location w/ access to everything Ballard has to offer: restaurants, nightlife, farmers market, coffee shops, & transit. This jewel box boasts ultra chic wide-plank hardwoods throughout, a large shared & secure balcony, walk-in closet, marble countertops & in unit W/D & double sinks. Spacious 1 bed w/ sought after flex-space for expansive dining, home office or 2nd bedroom in an amenity-rich building! Amenities incl. an outdoor swimming pool & hot tub! You will love your sauna, fitness room, secure separate storage, community room for large parties, huge rooftop deck w/ BBQ & garden. Secure building w/concierge & garage parking. Super easy unit access. Affordable & financially strong HOA. Show less"
PAST SALE,December-30-2022,Condo/Co-op,2413 NW 59th St Unit 303E,Seattle,WA,98107,460000,2.0,1.0,Ballard,704,,1987.0,,653,401.0,Sold,,,https://www.redfin.com/WA/Seattle/2413-NW-59th-St-98107/unit-303E/home/22691406,NWMLS as Distributed by MLS Grid,2020264.0,N,Y,47.6714499,-122.38828970000002,"Sunset at the Locks, is a small 20-unit community with a secured courtyard entry on a quiet tree-lined street in the heart of Ballard.  This fabulous move-in ready 2 bed, NW facing corner unit features a large open living/dining/kitchen area, hardwoods, updated kitchen & bath, spacious bedrooms, ample closet space, in-unit laundry & lots of windows that provide tons of natural light. Private covered balcony w/ room to sit and enjoy your morning coffee, and a BBQ grill. Designated parking spot off the alley. Well-managed HOA with no rental cap & pet friendly. With a coffee shop on the corner, multiple dining options & grocery on 24th, and all that NW Market St has to offer just 4 blocks away it’s no surprise that it has a Walk Score of 97. Show less"
PAST SALE,June-21-2023,Townhouse,1554 NW 62nd St,Seattle,WA,98107,730000,2.0,1.5,Ballard,1090,732.0,2017.0,,670,,Sold,,,https://www.redfin.com/WA/Seattle/1554-NW-62nd-St-98107/home/113995469,NWMLS as Distributed by MLS Grid,2066082.0,N,Y,47.6739913,-122.3785611,"Located in the heart of Ballard, this 2 bedroom 1.25 bath townhouse is the perfect home for those who want to embrace the urban lifestyle. It has modern, energy efficient finishes throughout, such as quartz counters and a custom tiled bathroom. On the rooftop, you'll find an amazing view of the city and Olympic Mountains, as well as a deck to enjoy it from. For convenient parking, this home also has an attached 1 car garage and plenty of street parking. You'll be close to parks, shops, restaurants, and all the other great amenities that Ballard has to offer. It's an ideal spot for those who want to experience the best that Ballard has to offer. Show less"
PAST SALE,May-4-2023,Condo/Co-op,1760 NW 56th St #303,Seattle,WA,98107,465000,1.0,1.0,Ballard,662,,2015.0,,702,376.0,Sold,,,https://www.redfin.com/WA/Seattle/1760-NW-56th-St-98107/unit-303/home/80220499,NWMLS as Distributed by MLS Grid,2043013.0,N,Y,47.669648200000005,-122.38157240000001,"Sleek, modern living at its best in Ballard’s stunning VIK condominium. Open concept floorplan with 9’ ceilings, Chef’s kitchen with quartz counters and waterfall edge, SS appliances, balcony, walk-in closet and in-unit W/D. This unit is like new and ready to move right in! Amenities include elevator, panoramic rooftop deck with outdoor kitchen, lobby entry with concierge to greet you, fitness center, secure garage parking, bike storage, dog run and pet wash station. Pet friendly and no rental cap. Just steps from Market Street, Ballard Farmer’s Market, restaurants, grocery stores, boutique, movies, parks, library and amazing night-life. Easy commute Downtown, South Lake Union, or via MS Connector. Show less"
PAST SALE,December-20-2022,Condo/Co-op,1760 NW 56th St #112,Seattle,WA,98107,462000,1.0,1.0,Ballard,679,,2016.0,,680,327.0,Sold,,,https://www.redfin.com/WA/Seattle/1760-NW-56th-St-98107/unit-112/home/105447578,NWMLS as Distributed by MLS Grid,2007428.0,N,Y,47.6695995,-122.3812494,"Beautiful one bedroom condo with private street-level entrance as well as lobby entrance at The Vik in the heart of Ballard! Amazing location + abundant amenities make this a sweet spot to call home. Enjoy a modern chef's kitchen w/ quartz counters, SS appliances, wine fridge & eat-in counter space. Spacious living room w/ abundant natural light & extra tall ceilings throughout. Large bedroom w/ plenty of storage in the walk-in closet w/ built-ins. In-unit laundry & full bathroom. Tons of amenities: gym, expansive rooftop deck w/ outdoor kitchen + dog run, bike storage room, beautiful lobby & dog-washing station. Secure garage parking space & storage unit included. Restaurants, cafes, parks, shopping & transportation right outside the door! Show less"
PAST SALE,February-28-2023,Condo/Co-op,5440 Leary Ave NW #423,Seattle,WA,98107,440000,1.0,1.0,Ballard,673,,2007.0,,654,363.0,Sold,,,https://www.redfin.com/WA/Seattle/5440-Leary-Ave-NW-98107/unit-423/home/18657730,NWMLS as Distributed by MLS Grid,2024926.0,N,Y,47.6676476,-122.3828727,"Welcome to this stunning light filled unit in the sought after Canal Station community. Located in the heart of Ballard close to shopping, restaurants, nightlife, Sunday Farmers Market,  local parks, & easy access to DT Seattle. This spacious unit features an open living space layout great for entertaining. It also offers a large private deck, decorative electric fireplace, & in-unit laundry. The well sized bedroom features a large closet w/ CA Closet organizers. Amenities include a staffed office, package delivery alerts, deck w/ BBQ, gym, hot tub, sauna, business center, & club room w/ space for gathering, a cozy fireplace, & kitchen for community use. Secure garage parking space w/ EV CHARGING & storage unit. No rental cap.Move-in ready! Show less"
PAST SALE,December-16-2022,Townhouse,2442 NW 59th St,Seattle,WA,98107,729000,2.0,1.5,Ballard,1164,1276.0,2007.0,,626,,Sold,,,https://www.redfin.com/WA/Seattle/2442-NW-59th-St-98107/home/12319301,NWMLS as Distributed by MLS Grid,2005203.0,N,Y,47.671943299999995,-122.3895831,"Craftsman townhome in the heart of Ballard w/ a Walk Score of 96. Designer finishes incl. South American pear hrdwd floors, fir trim/doors, granite slab counters, glass tile backsplash, SS appliances, energy-effic hydronic/radiant heat, maple cabs, gas fpl, & vaulted ceilings. Home features 2 bdrms on the top floor, plus an office w/ access to yard & patio. Convenient half bath for guests. Deck on main level overlooks the custom-landscaped, fenced backyard. Close to the Ballard Farmers Market, Majestic Bay theater, music venues, & award-winning restaurants. Plus, the James Beard Award-nominated Besalu bakery is just around the corner. Great 4-townhome comm. w/ welcoming neighbors. 1-car attached garage completes this move-in ready home. Show less"
PAST SALE,February-28-2023,Condo/Co-op,5650 24th Ave NW #617,Seattle,WA,98107,540000,1.0,1.0,Ballard,798,,2007.0,,677,486.0,Sold,,,https://www.redfin.com/WA/Seattle/5650-24th-Ave-NW-98107/unit-617/home/12448330,NWMLS as Distributed by MLS Grid,1974051.0,N,Y,47.6695536,-122.3871988,"Lovely light-filled top floor condo in the heart of Ballard. Updates galore include new luxury vinyl plank flooring throughout in 2020, new stainless steel appliances, new water heater in 2021, new carpet in 2019, new touch faucet and new blinds. Great features include office nook with closet, pantry, electric fireplace, in-unit laundry, walk-in closet in bedroom, and balcony with expansive territorial view. Spacious kitchen with ample counter and cabinet space, granite counters, and breakfast bar. Secure garage parking spot + storage unit. Building amenities include lovely rooftop deck with space to garden, courtyard with covered BBQ, gym, conference room, and lounge. Well-managed pet-friendly building with no rental cap! Amazing location! Show less"
PAST SALE,March-28-2023,Townhouse,5618 9th Ave NW,Seattle,WA,98107,689900,2.0,2.0,Woodland Park,1014,480.0,2023.0,,680,,Sold,,,https://www.redfin.com/WA/Seattle/5618-9th-Ave-NW-98107/home/184722759,NWMLS as Distributed by MLS Grid,2036993.0,N,Y,47.6699256,-122.36836799999999,"Welcome to this turn-key collection of brand-new parked residences by Blackwood Homes. Timeless brick exteriors fade into floor-to-ceiling windows, ivory-colored walls, and warmly-toned hardwood floors. Elevated living areas offer ideal privacy and boast many features, including quartz countertops, stainless steel appliances, and attached deck space! All bedrooms are separate from the main floor, with access to personal bathrooms for convenience and privacy. Every home thoughtfully finishes with a stunning roof deck - the ideal space for entertaining and taking in those fantastic city views. Located less than one mile from Woodland Park, Zoo, Green Lake, and the Fremont Cut – perfectly fixed between Seattle’s most beloved neighborhoods. Show less"
