SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-7-2023,Condo/Co-op,11401 Roosevelt Way NE #2,Seattle,WA,98125,475000,2,1.5,Northgate,1008,,1979,,471,350,Sold,,,https://www.redfin.com/WA/Seattle/11401-Roosevelt-Way-NE-98125/unit-2/home/42506,NWMLS as Distributed by MLS Grid,2075843,N,Y,47.7117394,-122.3181873
PAST SALE,September-1-2023,Condo/Co-op,840 NE 125th St #405,Seattle,WA,98125,325000,1,1.0,Northgate,628,,1988,,518,303,Sold,,,https://www.redfin.com/WA/Seattle/840-NE-125th-St-98125/unit-405/home/12537583,NWMLS as Distributed by MLS Grid,2138219,N,Y,47.7197662,-122.3187763
PAST SALE,September-14-2023,Single Family Residential,10711 28th Ave NE,Seattle,WA,98125,650000,2,1.0,Lake City,1340,7245,1924,,485,,Sold,,,https://www.redfin.com/WA/Seattle/10711-28th-Ave-NE-98125/home/112390,NWMLS as Distributed by MLS Grid,2132288,N,Y,47.7070847,-122.2982324
PAST SALE,December-13-2022,Condo/Co-op,13229 15th Ave NE Unit A14,Seattle,WA,98125,419950,2,2.0,Pinehurst,1415,,1970,,297,761,Sold,,,https://www.redfin.com/WA/Seattle/13229-15th-Ave-NE-98125/unit-A14/home/180608699,NWMLS as Distributed by MLS Grid,1970180,N,Y,47.7248416,-122.312799
PAST SALE,June-6-2023,Single Family Residential,11315 30th Ave NE,Seattle,WA,98125,610000,2,2.0,Seattle,1400,15390,1942,,436,,Sold,,,https://www.redfin.com/WA/Seattle/11315-30th-Ave-NE-98125/home/110997,NWMLS as Distributed by MLS Grid,2125201,N,Y,47.71066,-122.2965864
PAST SALE,,Single Family Residential,14074 22nd Ave NE,Seattle,WA,98125,478950,2,1.0,,750,7085,1944,,639,,,,,https://www.redfin.com/WA/Seattle/14074-22nd-Ave-NE-98125/home/114638,,,N,Y,47.731711,-122.3054375
PAST SALE,August-21-2023,Single Family Residential,12534 5th Ave NE,Seattle,WA,98125,515000,2,1.0,Pinehurst,961,7800,1961,,536,,Sold,,,https://www.redfin.com/WA/Seattle/12534-5th-Ave-NE-98125/home/105964,NWMLS as Distributed by MLS Grid,2153733,N,Y,47.7205735,-122.323252
PAST SALE,June-9-2023,Single Family Residential,11828 31st Pl NE,Seattle,WA,98125,639950,2,2.5,Meadowbrook,1186,1439,2023,,540,14,Sold,,,https://www.redfin.com/WA/Seattle/11828-31st-Pl-NE-98125/home/185534899,NWMLS as Distributed by MLS Grid,2073272,N,Y,47.7148247,-122.2952131
PAST SALE,July-24-2023,Townhouse,10048 Ravenna Ave NE Unit C,Seattle,WA,98125,760000,2,2.0,Ravenna,1142,1,2023,,665,100,Sold,,,https://www.redfin.com/WA/Seattle/10048-Ravenna-Ave-NE-98125/unit-C/home/186115039,NWMLS as Distributed by MLS Grid,2139605,N,Y,47.7026355,-122.2982537
PAST SALE,September-18-2023,Single Family Residential,1551 NE 135th St,Seattle,WA,98125,647500,2,1.0,Jackson Park,1072,5919,1955,,604,,Sold,,,https://www.redfin.com/WA/Seattle/1551-NE-135th-St-98125/home/115475,NWMLS as Distributed by MLS Grid,2155616,N,Y,47.726441,-122.3118187
