SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,December-14-2022,Single Family Residential,7548 29th Ave NW,Seattle,WA,98117,757500,2,1.0,Sunset Hill,710,5736.0,1943.0,,1067,,Sold,,,https://www.redfin.com/WA/Seattle/7548-29th-Ave-NW-98117/home/164517,NWMLS as Distributed by MLS Grid,2014551.0,N,Y,47.6845369,-122.3940882,"Location, location, location! Adorable jewel box bungalow, on a 6000 sq. ft. lot, in desirable Loyal Heights neighborhood. This fab RAMBLER boasts beautiful hardwoods, stylishly renovated bath and two spacious bedrooms. Large garage/workshop space and a huge backyard that’s already complete with chicken coop. The possibilities are endless for a gardener’s paradise or DADU potential! Just a short stroll to Ballard’s wonderful amenities, including Ballard's famous farmer’s market, Golden Garden’s park marina, shops, cafes and nightlife. Highly rated Ballard schools and high walk-score. Welcome to Ballard! Show less"
PAST SALE,June-27-2023,Townhouse,808 NW 83rd St,Seattle,WA,98117,635000,2,1.5,Whittier,1140,951.0,2003.0,,557,,Sold,,,https://www.redfin.com/WA/Seattle/808-NW-83rd-St-98117/home/497914,NWMLS as Distributed by MLS Grid,2068612.0,N,Y,47.6892899,-122.3664732,"Lovely Whittier Heights Craftsman-style townhouse on a quiet street with welcoming fenced patio in front. This move-in ready home has new carpet & paint, radiant heat & central vacuum. Find Brazilian cherry floors, spacious kitchen w/ granite counters, gas stove, & breakfast bar; living room w/ gas fireplace, & convenient half bath on main floor. Upstairs has bamboo floors & vaulted ceilings; primary BR w/ large walk-in closet & attached Jack-n-Jill bath leading to the second BR, with laundry in the hall. With an attached garage, leave the car at home while you explore all that nearby Greenwood and Ballard have to offer - fabulous location near restaurants, shopping, cafes, breweries, parks + easy commute from bus stops at NW 85th & 8th NW! Show less"
PAST SALE,July-31-2023,Single Family Residential,2761 NW 85th St,Seattle,WA,98117,610000,2,2.5,Loyal Heights,1330,1704.0,2008.0,,459,,Sold,,,https://www.redfin.com/WA/Seattle/2761-NW-85th-St-98117/home/12449184,NWMLS as Distributed by MLS Grid,2129718.0,N,Y,47.6904287,-122.3927053,"Welcome to this impressive modern, end-unit townhome in North Ballard, featuring 2 bd/2.25 baths with a well-designed floor plan and dual entry. The lower level features a private entrance, a 3/4 bath with floor-to-ceiling tile, and can serve as a studio residence, rental, or live/work opportunity. Upstairs leads to the open living space with bamboo floors, dining area, kitchen with quartz counters and stainless appliances, gas range, and a convenient powder room. On the top floor, you'll find the primary bedroom, a striking full bath w/ dual sinks, a large walk-in closet, laundry, and private balcony to enjoy stunning territory views. No HOA dues, no rental restrictions. Dog-friendly and mins to Golden Gardens. Don't let this one get away! Show less"
PAST SALE,May-18-2023,Condo/Co-op,8501 12th Ave NW #205,Seattle,WA,98117,449000,2,2.0,Crown Hill,1253,,1980.0,,358,501.0,Sold,,,https://www.redfin.com/WA/Seattle/8501-12th-Ave-NW-98117/unit-205/home/5052,NWMLS as Distributed by MLS Grid,2023042.0,N,Y,47.6909644,-122.371777,"Surrounded by beautiful greenery and overlooking a private garden, this lovely corner unit has a large wrap-around deck and a bank of windows that let the natural light pour in. At 1250 square feet, the living room and bedrooms are huge, it features a ton of storage in the unit, and has a utility room in the unit with a high-efficiency and water conserving front loading washer and dryer. There is plenty of cabinet space in the highly functional kitchen with a dining area and new stove and dishwasher. The building itself is quiet and well-maintained, very walkable, and convenient to shops, restaurants, and bus lines. It’s a great unit in a great location at a great price. Come have a look today! Show less"
PAST SALE,October-3-2023,Townhouse,339 NW 81st St,Seattle,WA,98117,800000,2,2.0,Seattle,1125,4800.0,2023.0,,711,35.0,Sold,,,https://www.redfin.com/WA/Seattle/339-NW-81st-St-98117/home/187550124,NWMLS as Distributed by MLS Grid,2163258.0,N,Y,47.6874633,-122.3624419,"**Seller/Lender offering 2.5% rate buydown for full price offers!** Don't miss this rare opportunity to own a brand NEW construction home right in the center of Phinneywood, a short walk to restaurants and shops. Enter into a beautifully crafted open floor plan that showcases luxury living and design on every level - chefs kitchen w/ Bertazzoni appliances, quartz tops and custom cabinetry. 2 bed, 1.75 bath, a fully fenced yard plus a rooftop deck! Primary bed w/ vaulted ceilings, built-in closets, dual vanity, rain shower and high-end finishes. LARGE windows to allow for abundant natural light and mini-split heating and cooling on every floor! Off-street parking wired for EV charging. Finish it off with immaculate outdoor spaces. Show less"
PAST SALE,January-12-2023,Single Family Residential,8660 A 13th Ave NW,Seattle,WA,98117,599000,2,2.5,Crown Hill,1069,964.0,2022.0,,560,10.0,Sold,,,https://www.redfin.com/WA/Seattle/8660-13th-Ave-NW-98117/home/182992274,NWMLS as Distributed by MLS Grid,2018703.0,N,Y,47.6924563,-122.3723971,"You are going to love this wonderful new construction home with dramatic vaulted ceilings and tons of natural light in the fantastic Crown Hill neighborhood. Two top floor ensuite bedrooms on two different levels make this space very unique. The huge primary suite features two private decks and a wonderful tiled bath. Neutral LVP floors throughout the entire home is soft, quiet, extremely durable and maintenance free.  Great space for entertaining on main level and plenty of space for dining and kitchen bar seating. Powder on main as well. Mini split system for heating & AC keeps home comfortable all year.  Fantastic location on a quiet street wth easy commuting, close to Golden Gardens and Carkeek parks, playfields and shopping and dining! Show less"
PAST SALE,,Single Family Residential,9012 4th Ave NW,Seattle,WA,98117,425000,2,1.0,,640,5040.0,1946.0,,664,,,,,https://www.redfin.com/WA/Seattle/9012-4th-Ave-NW-98117/home/100936,,,N,Y,47.6947055,-122.3617117,Skipped after 4 retries
PAST SALE,January-11-2023,Single Family Residential,6208 NW 98th,Seattle,WA,98117,750000,0,,North Beach,760,5250.0,1927.0,,987,,Sold,,,https://www.redfin.com/WA/Seattle/6208-NW-98th-St-98117/home/183786517,NWMLS as Distributed by MLS Grid,2027464.0,N,Y,47.7000479,-122.3886408,Skipped after 4 retries
PAST SALE,April-28-2023,Single Family Residential,9711 4th Ave NW,Seattle,WA,98117,780000,2,2.0,Greenwood,1200,1.0,2023.0,,650,49.0,Sold,,,https://www.redfin.com/WA/Seattle/9711-4th-Ave-NW-98117/home/185359160,NWMLS as Distributed by MLS Grid,2065290.0,N,Y,47.700091,-122.3622952,"Impressive Greenwood new construction home w/ amazing designer details, craftsmanship & inspiration; a winning hallmark of Brikat Homes. Dedication to quality is apparent the moment you arrive.  Well styled designed floorplan with modern convenience & a relaxing rooftop deck. Floor to ceiling windows, Mini-Split heating & AC, 2 beds/1.75 baths + flex office space/workout room providing immense comfort & living options. Beautiful kitchen w/ custom cabinets to ceiling, Quartz counters, Cafe appliances & gold accents. Primary suite offers vaulted ceilings, en-suite bath & custom walk-in closet. Prepped for EV charger. Short walk to Greenwood shops, Carkeek Park and Crown Hill. Show less"
PAST SALE,December-28-2022,Single Family Residential,6519 Earl Ave NW,Seattle,WA,98117,1250000,0,,Ballard,1730,3825.0,1928.0,,723,,Sold,,,https://www.redfin.com/WA/Seattle/6519-Earl-Ave-NW-98117/home/163533,NWMLS as Distributed by MLS Grid,2024265.0,N,Y,47.6765306,-122.392162,Skipped after 4 retries
