SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-19-2023,Single Family Residential,325 23rd Ave E,Seattle,WA,98112,1125000,3,3.0,Capitol Hill,2650,3752,1904,,425,,Sold,,,https://www.redfin.com/WA/Seattle/325-23rd-Ave-E-98112/home/145077,NWMLS as Distributed by MLS Grid,2054456,N,Y,47.6221751,-122.3028229
PAST SALE,November-28-2022,Townhouse,132 21st Ave E Unit C,Seattle,WA,98112,1000000,3,2.5,Capitol Hill,1580,1200,2017,,633,,Sold,,,https://www.redfin.com/WA/Seattle/132-21st-Ave-E-98112/unit-C/home/113995101,NWMLS as Distributed by MLS Grid,2007218,N,Y,47.6195317,-122.3042844
PAST SALE,June-16-2023,Single Family Residential,3425 E Florence Ct,Seattle,WA,98112,2185000,4,3.5,Denny Blaine,3340,3865,2008,,654,,Sold,,,https://www.redfin.com/WA/Seattle/3425-E-Florence-Ct-98112/home/140816,NWMLS as Distributed by MLS Grid,2056181,N,Y,47.6188717,-122.2878832
PAST SALE,May-17-2023,Condo/Co-op,2501 Canterbury Ln E #419,Seattle,WA,98112,715000,2,2.0,Madison Park,943,,1967,,758,874,Sold,,,https://www.redfin.com/WA/Seattle/2501-Canterbury-Ln-E-98112/unit-419/home/9389,NWMLS as Distributed by MLS Grid,2042063,N,Y,47.6425116,-122.2809804
PAST SALE,February-17-2023,Single Family Residential,1825 39th Ave E,Seattle,WA,98112,1350000,3,2.0,Madison Park,2370,5400,1956,,570,,Sold,,,https://www.redfin.com/WA/Seattle/1825-39th-Ave-E-98112/home/139475,NWMLS as Distributed by MLS Grid,2026951,N,Y,47.6353929,-122.2831317
PAST SALE,January-6-2023,Single Family Residential,2057 41st Ave E,Seattle,WA,98112,1600000,3,2.0,Madison Park,2020,4000,1927,,792,,Sold,,,https://www.redfin.com/WA/Seattle/2057-41st-Ave-E-98112/home/140065,NWMLS as Distributed by MLS Grid,2009354,N,Y,47.6386436,-122.2799947
PAST SALE,December-20-2022,Single Family Residential,1119 19th Ave E,Seattle,WA,98112,1750000,4,2.5,North Capitol Hill,2900,4800,1908,,603,,Sold,,,https://www.redfin.com/WA/Seattle/1119-19th-Ave-E-98112/home/136277,NWMLS as Distributed by MLS Grid,1996087,N,Y,47.6292689,-122.3076079
PAST SALE,October-27-2023,Condo/Co-op,2360 43rd Ave E #402,Seattle,WA,98112,550000,1,1.0,Madison Park,813,,1966,,677,840,Sold,,,https://www.redfin.com/WA/Seattle/2360-43rd-Ave-E-98112/unit-402/home/2925,NWMLS as Distributed by MLS Grid,2125358,N,Y,47.6406996,-122.2761271
PAST SALE,March-23-2023,Single Family Residential,2053 41st Ave E,Seattle,WA,98112,1900000,3,3.0,Madison Park,2834,4000,1926,,670,,Sold,,,https://www.redfin.com/WA/Seattle/2053-41st-Ave-E-98112/home/140064,NWMLS as Distributed by MLS Grid,2052692,N,Y,47.6385395,-122.2799342
PAST SALE,May-4-2023,Single Family Residential,2423 E Miller St,Seattle,WA,98112,900000,3,2.0,Montlake,2000,5000,1921,,450,,Sold,,,https://www.redfin.com/WA/Seattle/2423-E-Miller-St-98112/home/138265,NWMLS as Distributed by MLS Grid,2065980,N,Y,47.6415408,-122.3010186
