SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-2-2022,Condo/Co-op,300 N 130th St #1302,Seattle,WA,98133,325000,1,1.0,Bitter Lake,707,,1988,,460,437,Sold,,,https://www.redfin.com/WA/Seattle/300-N-130th-St-98133/unit-1302/home/12538741,NWMLS as Distributed by MLS Grid,2003835,N,Y,47.7239491,-122.3535716
PAST SALE,May-16-2023,Condo/Co-op,132 N 132nd St #201,Seattle,WA,98133,435000,2,2.0,Broadview,1093,,1978,,398,851,Sold,,,https://www.redfin.com/WA/Seattle/132-N-132nd-St-98133/unit-201/home/32678,NWMLS as Distributed by MLS Grid,2053670,N,Y,47.7253375,-122.3566514
PAST SALE,January-5-2023,Single Family Residential,10516 Evanston Ave N,Seattle,WA,98133,430000,1,1.0,Bitter Lake,490,5040,1922,,878,,Sold,,,https://www.redfin.com/WA/Seattle/10516-Evanston-Ave-N-98133/home/98741,NWMLS as Distributed by MLS Grid,2016847,N,Y,47.7055591,-122.3511383
PAST SALE,November-30-2022,Townhouse,10522 Whitman Ave N Unit C,Seattle,WA,98133,570288,2,1.5,Bitter Lake,1300,3146,1968,,439,,Sold,,,https://www.redfin.com/WA/Seattle/10522-Whitman-Ave-N-98133/unit-C/home/144466559,NWMLS as Distributed by MLS Grid,1989457,N,Y,47.705813,-122.3456819
PAST SALE,September-15-2023,Townhouse,1275 N 145th St,Shoreline,WA,98133,549995,2,2.0,Northgate,1010,710,2021,,545,,Sold,,,https://www.redfin.com/WA/Shoreline/1275-N-145th-St-98133/home/177219798,NWMLS as Distributed by MLS Grid,2132885,N,Y,47.7340309,-122.3427462
PAST SALE,,Townhouse,1766 N Northgate Way Unit B,Seattle,WA,98133,546000,2,1.5,,1210,1260,2001,,451,,,,,https://www.redfin.com/WA/Seattle/1766-N-Northgate-Way-98133/unit-B/home/104931,,,N,Y,47.7073868,-122.3363621
PAST SALE,April-24-2023,Single Family Residential,12297 Corliss Ave N,Seattle,WA,98133,1400000,1,3.0,Haller Lake,2420,13044,1993,,579,,Sold,,,https://www.redfin.com/WA/Seattle/12297-Corliss-Ave-N-98133/home/103297,NWMLS as Distributed by MLS Grid,2060429,N,Y,47.7194633,-122.331113
PAST SALE,,Condo/Co-op,312 N 160th Pl #3,Shoreline,WA,98133,685000,2,1.0,,1009,,2001,,679,,,,,https://www.redfin.com/WA/Shoreline/312-N-160th-Pl-98133/unit-3/home/59804,,,N,Y,47.7456864,-122.3549056
PAST SALE,November-28-2022,Townhouse,914 N 100th St,Seattle,WA,98133,549755,2,1.5,Seattle,900,,2022,,611,58,Sold,,,https://www.redfin.com/WA/Seattle/914-N-100th-St-98133/home/182702396,NWMLS as Distributed by MLS Grid,2014874,N,Y,47.7016482,-122.3472131
PAST SALE,,Single Family Residential,14326 Wallingford Ave N Unit C,Seattle,WA,98133,1275450,2,1.0,,800,5250,1948,,1594,,,,,https://www.redfin.com/WA/Seattle/14326-Wallingford-Ave-N-98133/unit-C/home/103039,,,N,Y,47.7331667,-122.3366851
