SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-31-2022,Condo/Co-op,4409 California Ave SW #501,Seattle,WA,98116,575000,2,2.0,Alaska Junction,1131,,1996,,508,723,Sold,,,https://www.redfin.com/WA/Seattle/4409-California-Ave-SW-98116/unit-501/home/71494,NWMLS as Distributed by MLS Grid,2007285,N,Y,47.56446,-122.3870811
PAST SALE,June-29-2023,Townhouse,4437 41st Ave SW Unit B,Seattle,WA,98116,865000,3,2.5,West Seattle,1510,912,2018,,573,,Sold,,,https://www.redfin.com/WA/Seattle/4437-41st-Ave-SW-98116/unit-B/home/145123955,NWMLS as Distributed by MLS Grid,2077164,N,Y,47.5635868,-122.3844185
PAST SALE,November-7-2022,Single Family Residential,3802 46th Ave SW,Seattle,WA,98116,954500,2,2.0,Genesee,2060,8509,1917,,463,,Sold,,,https://www.redfin.com/WA/Seattle/3802-46th-Ave-SW-98116/home/330178,NWMLS as Distributed by MLS Grid,2003805,N,Y,47.5700706,-122.3905454
PAST SALE,July-6-2023,Condo/Co-op,1200 Alki Ave SW #5,Seattle,WA,98116,3795000,3,4.0,Alki,4475,,2000,,848,2100,Sold,,,https://www.redfin.com/WA/Seattle/1200-Alki-Ave-SW-98116/unit-5/home/27298,NWMLS as Distributed by MLS Grid,2074931,N,Y,47.5943761,-122.3880908
PAST SALE,June-30-2023,Single Family Residential,2619 49th Ave SW,Seattle,WA,98116,1077000,3,2.0,North Admiral,2630,6000,1910,,410,,Sold,,,https://www.redfin.com/WA/Seattle/2619-49th-Ave-SW-98116/home/150313,NWMLS as Distributed by MLS Grid,2075187,N,Y,47.5806012,-122.394468
PAST SALE,May-31-2023,Single Family Residential,5102 SW Genesee St,Seattle,WA,98116,999999,3,2.0,Genesee,1840,6500,1948,,543,,Sold,,,https://www.redfin.com/WA/Seattle/5102-SW-Genesee-St-98116/home/152032,NWMLS as Distributed by MLS Grid,2049372,N,Y,47.5650106,-122.3978918
PAST SALE,September-25-2023,Single Family Residential,4032 47th Ave SW,Seattle,WA,98116,915800,2,1.0,Genesee,2048,4640,1918,,447,,Sold,,,https://www.redfin.com/WA/Seattle/4032-47th-Ave-SW-98116/home/331423,NWMLS as Distributed by MLS Grid,2150957,N,Y,47.5674482,-122.3918023
PAST SALE,December-16-2022,Single Family Residential,3802 47th Ave SW,Seattle,WA,98116,699900,3,1.0,Genesee,1370,6786,1951,,511,,Sold,,,https://www.redfin.com/WA/Seattle/3802-47th-Ave-SW-98116/home/330072,NWMLS as Distributed by MLS Grid,2011657,N,Y,47.5700917,-122.391833
PAST SALE,,Townhouse,2314 44th Ave SW Unit C,Seattle,WA,98116,805000,3,3.0,,1310,1168,2010,,615,,,,,https://www.redfin.com/WA/Seattle/2314-44th-Ave-SW-98116/unit-C/home/35620353,,,N,Y,47.5825552,-122.3875705
PAST SALE,June-28-2023,Single Family Residential,4403 40th Ave SW,Seattle,WA,98116,965000,3,3.5,Alaska Junction,2310,3075,2005,,418,,Sold,,,https://www.redfin.com/WA/Seattle/4403-40th-Ave-SW-98116/home/2091490,NWMLS as Distributed by MLS Grid,2065583,N,Y,47.5644942,-122.3832389
PAST SALE,July-28-2023,Condo/Co-op,1550 Alki Ave SW #301,Seattle,WA,98116,880000,2,2.0,Alki,1422,,1994,,619,725,Sold,,,https://www.redfin.com/WA/Seattle/1550-Alki-Ave-SW-98116/unit-301/home/5440,NWMLS as Distributed by MLS Grid,2054918,N,Y,47.5893078,-122.3938096
PAST SALE,October-31-2023,Condo/Co-op,1300 Alki Ave SW #302,Seattle,WA,98116,789000,2,2.0,Alki,1359,,1996,,581,1200,Sold,,,https://www.redfin.com/WA/Seattle/1300-Alki-Ave-SW-98116/unit-302/home/58928,NWMLS as Distributed by MLS Grid,2063908,N,Y,47.5929469,-122.390422
PAST SALE,January-5-2023,Condo/Co-op,2331 42nd Ave SW #403,Seattle,WA,98116,355000,1,1.0,North Admiral,590,,2002,,602,355,Sold,,,https://www.redfin.com/WA/Seattle/2331-42nd-Ave-SW-98116/unit-403/home/32282,NWMLS as Distributed by MLS Grid,2026794,N,Y,47.5823835,-122.3853712
PAST SALE,March-31-2023,Single Family Residential,5514 SW Lander Pl,Seattle,WA,98116,1450000,3,3.0,Alki,2680,7152,1960,,541,,Sold,,,https://www.redfin.com/WA/Seattle/5514-SW-Lander-Pl-98116/home/149767,NWMLS as Distributed by MLS Grid,2051846,N,Y,47.5792074,-122.4030778
PAST SALE,March-24-2023,Townhouse,4022 Beach Dr SW,Seattle,WA,98116,1140000,3,2.5,Beach Drive,1610,1412,2023,,708,,Sold,,,https://www.redfin.com/WA/Seattle/4022-Beach-Dr-SW-98116/home/151952,NWMLS as Distributed by MLS Grid,2040538,N,Y,47.5679568,-122.4092862
PAST SALE,,Condo/Co-op,1627 California Ave SW #4,Seattle,WA,98116,640000,2,2.0,,1479,,1981,,433,,,,,https://www.redfin.com/WA/Seattle/1627-California-Ave-SW-98116/unit-4/home/4851,,,N,Y,47.5884436,-122.3865809
PAST SALE,September-7-2023,Single Family Residential,3235 61st Ave SW Unit C,Seattle,WA,98116,807000,3,2.0,Alki,1101,1302,2023,,733,25,Sold,,,https://www.redfin.com/WA/Seattle/3235-61st-Ave-SW-98116/unit-C/home/186229741,NWMLS as Distributed by MLS Grid,2144301,N,Y,47.5748076,-122.4112266
PAST SALE,July-6-2023,Single Family Residential,1541 Sunset Ave SW,Seattle,WA,98116,1700000,3,1.0,North Admiral,1500,5895,1952,,1133,,Sold,,,https://www.redfin.com/WA/Seattle/1541-Sunset-Ave-SW-98116/home/149992,NWMLS as Distributed by MLS Grid,2135888,N,Y,47.5898038,-122.3913553
