SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,June-15-2023,Condo/Co-op,2001 Westlake Ave N #33,Seattle,WA,98109,534900,2,1.0,Westlake,900,,1967,,594,527.0,Sold,,,https://www.redfin.com/WA/Seattle/2001-Westlake-Ave-N-98109/unit-33/home/19981,NWMLS as Distributed by MLS Grid,2065551.0,N,Y,47.6368394,-122.3407449,"Plenty of time in the morning to enjoy your morning beverage on your deck with unobstructed Lake Union, Gas Works & city views! Be in awe of the sunrise, sailboats & seaplanes. Walk, roll or ride to nearby SLU or Fremont, and maybe even the workplace? The Lake Union Loop trail is just down the stairs for coffee, restaurants, to rent a paddle board, or stroll to work; lots of nearby activities! Updated, 2-bedroom end unit lives large with a spacious & open floor plan, including a large deck for inside/outside living. Well run HOA; recent upgrades to exterior siding, windows & interior common areas with new carpet, lighting & paint. Unit 33 has NO special assessment fees. Dedicated parking space & EZ street parking. Two pet limit. A must see! Show less"
PAST SALE,November-18-2022,Condo/Co-op,160 Lee St #106,Seattle,WA,98109,439900,1,1.0,Queen Anne,630,,1988,,698,349.0,Sold,,,https://www.redfin.com/WA/Seattle/160-Lee-St-98109/unit-106/home/34600,NWMLS as Distributed by MLS Grid,2007139.0,N,Y,47.6312527,-122.35409109999999,"Located on a quiet residential street in the heart of Queen Anne lies this intimate, well-run condominium. This well-appointed unit has an open floor plan with a large, private yard perfect for gardeners and outdoor entertaining. Stylish, updated kitchen w/slab quartzite counters and bar seating. The office alcove accommodates a desk and built-in shelving. Large bedroom w/ large closet, In-unit washer/dryer & engineered bamboo hardwood floors. Generously sized assigned parking space in the secure underground garage. New roof, decking, windows, and   siding. No rental cap after 1 year. High walkability, close to shopping, groceries, Seattle Center, eateries, and public transit. Low HOA dues with no special assessment. Show less"
PAST SALE,March-22-2023,Condo/Co-op,2001 Westlake Ave N #34,Seattle,WA,98109,528500,2,1.0,Westlake,900,,1967,,587,527.0,Sold,,,https://www.redfin.com/WA/Seattle/2001-Westlake-Ave-N-98109/unit-34/home/46731,NWMLS as Distributed by MLS Grid,2035242.0,N,Y,47.6368394,-122.3407449,"Start your day sipping a morning beverage on your deck while you watch the sunrise, sailboats & seaplanes take off among your unobstructed Lake Union, Gas Works & city views. Walk, roll or ride to nearby SLU or Fremont. The Lake Union Loop trail is just down the stairs for coffee shops, restaurants, to rent a paddle board, stroll to work; lots of nearby activities! This newly updated, modern 2-bedroom end unit lives large with a spacious & open floor plan, including a large deck for inside/outside living. Well run HOA; recent upgrades to exterior siding, windows & interior common areas with new carpet, lighting & paint. Unit 34 has NO special assessment fees tied to it. Dedicated parking space & EZ street parking. Two pet limit. A must see! Show less"
PAST SALE,April-28-2023,Condo/Co-op,762 Hayes St #44,Seattle,WA,98109,379000,1,1.0,Westlake,657,,1977,,577,518.0,Sold,,,https://www.redfin.com/WA/Seattle/762-Hayes-St-98109/unit-44/home/14772,NWMLS as Distributed by MLS Grid,2048796.0,N,Y,47.6341205,-122.34145659999999,"Queen Anne beauty with open floor plan & updates throughout! Gorgeous views of Lake Union welcome you to this bright, stylish top floor unit. Fully updated kitchen with SS appliances & subway tile backsplash flows to the open living room with a wall of windows so you can always take in the amazing views! Beautiful balcony to enjoy on those warmer spring/summer days as well. Large primary bedroom & bathroom with updated vanity and a great skylight so it’s always bright. New w/d in 2021, new water heater in 2018. Half a block from Lake Union: immediate bike path access and easy pedestrian access to SLU, Fremont, and DT Seattle. Easy car commuting & near routes on Dexter. Storage locker, secure parking, & no rental cap. Hurry to your new home! Show less"
PAST SALE,August-29-2023,Condo/Co-op,2167 Dexter Ave N #202,Seattle,WA,98109,599900,2,2.0,Queen Anne,1025,,1993,,585,430.0,Sold,,,https://www.redfin.com/WA/Seattle/2167-Dexter-Ave-N-98109/unit-202/home/42887,NWMLS as Distributed by MLS Grid,2134900.0,N,Y,47.639435299999995,-122.3444137,"Immaculate & move-in ready, this beautifully remodeled 2 bedrm 2 bath condo in small boutique building will delight! Light & bright living room w/built-in storage & cozy fireplace. Gorgeous kitchen w/granite counters, tile backsplash, ss appliances & bar seating. New flooring throughout! Primary suite has spacious walk-in closet and spa-like 5 piece bathroom. 1 deeded parking spot in secure garage w/roomy storage unit. This prime location is close to Fremont, DT, Queen Anne, UW & more, with easy access to 99, I-5, & Burke Gilman Trail. Minutes to Amazon, Google, & Seattle Center. Lake Union is at your door step! Show less"
PAST SALE,March-28-2023,Condo/Co-op,401 9th Ave N #306,Seattle,WA,98109,525000,1,1.0,South Lake Union,815,,2009,,644,507.0,Sold,,,https://www.redfin.com/WA/Seattle/401-9th-Ave-N-98109/unit-306/home/21616810,NWMLS as Distributed by MLS Grid,2035657.0,N,Y,47.622438700000004,-122.34012179999999,"Modern PNW condo in the heart of South Lake Union. Meticulously maintained and managed Veer Lofts boast nine foot ceilings with full height windows providing abundant natural light throughout this open concept home. The interior is clad with polished concrete floors and cedar soffits, segueing to a private east facing balcony. Secured entry and monitored garage with one parking space and storage unit. This LEED certified and pet-friendly building features a 2nd level courtyard with BBQ stations, ample bike store, and professional pet wash area. Steps to the shops, restaurants, MOHAI, and collection of Amazon buildings that make South Lake Union such a vibrant and sought after neighborhood! Show less"
PAST SALE,August-4-2023,Single Family Residential,407 Wheeler St,Seattle,WA,98109,1625000,4,2.0,Queen Anne,3910,5040.0,1914,,416,,Sold,,,https://www.redfin.com/WA/Seattle/407-Wheeler-St-98109/home/135007,NWMLS as Distributed by MLS Grid,2127524.0,N,Y,47.6405488,-122.34917,"Perched above Queen Anne's treelined ""Boulevard,"" this 1914 Craftsman is a gem in the ""Crown of Queen Anne!"" Period finishes including leaded glass windows, original wood floors & a charming window seat meld seamlessly with recent updates including a renovated kitchen, freshly painted interior, & designer window treatments. From the storybook front porch you'll enter the main floor with circular floor plan, a generous living room & formal dining room with French doors that open out onto the stunningly beautiful south facing garden terrace complete with Ipe bench seating & firepit - the perfect setting for relaxing & entertaining friends. Upstairs are 3 bedrooms, two with upper balconies. Close to shops, restaurants & neighborhood schools! Show less"
PAST SALE,October-25-2023,Townhouse,2139 Waverly Pl N,Seattle,WA,98109,1399000,3,4.0,Queen Anne,2021,1572.0,2013,,692,,Sold,,,https://www.redfin.com/WA/Seattle/2139-Waverly-Pl-N-98109/home/131669,NWMLS as Distributed by MLS Grid,2150368.0,N,Y,47.638893700000004,-122.3432855,"Skipped after 5 ""Show more"" encounters"
PAST SALE,October-30-2023,Condo/Co-op,1011 5th Ave N #107,Seattle,WA,98109,690000,3,2.0,Queen Anne,1489,,1985,,463,690.0,Sold,,,https://www.redfin.com/WA/Seattle/1011-5th-Ave-N-98109/unit-107/home/33918,NWMLS as Distributed by MLS Grid,2160553.0,N,Y,47.6284581,-122.3479318,"This spacious SW facing corner unit on the east slope of Queen Anne offers the perfect blend of convenience & style. Inviting luxury vinyl plank floor throughout the open floor plan, seamlessly connecting the living, dining, & kitchen areas for easy entertaining. Enjoy your morning coffee or unwind after a long day on either of your 2 private balconies overlooking the neighborhood. Convenient in-unit laundry ensures you have more time for the things you love. The secure building features a lobby entry & gated garage. Quiet building w/ active HOA & lowest dues in QA. Enjoy the dynamic lower Queen Anne neighborhood -near Bhy Kracke Park & Ward Parks, walk to Seattle Center for Kraken games or hop on the monorail for a quick trip Downtown. Show less"
PAST SALE,September-29-2023,Condo/Co-op,2145 Dexter Ave N #304,Seattle,WA,98109,510000,1,2.0,Lake Union,910,,1985,,560,611.0,Sold,,,https://www.redfin.com/WA/Seattle/2145-Dexter-Ave-N-98109/unit-304/home/7496,NWMLS as Distributed by MLS Grid,2148295.0,N,Y,47.638675299999996,-122.3443041,"This condo is located in lower Queen Anne & the eastern exposure offers plenty of natural light & views of Lake Union & Cascade Mountains. Open floor concept creates a spacious living area, w/ hardwood floors & a wood-burning fireplace. Modern kitchen comes equipped with all the necessary amenities & includes a eating bar, which is ideal for casual dining. Large den/office space that can be used for a variety of purposes. The bathrooms have been updated, there is an in-unit washer & dryer and plenty of storage throughout the condo. The building offers secure access & 1 garage parking spot. Its location provides easy access to Amazon & downtown Seattle. This condo has a well run HOA, no pending assessments, no rental cap & is pet friendly. Show less"
