SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-28-2023,Single Family Residential,3234 NE 88th St,Seattle,WA,98115,735000,2,1.0,Wedgwood,860,6630,1947,,855,,Sold,,,https://www.redfin.com/WA/Seattle/3234-NE-88th-St-98115/home/317083,NWMLS as Distributed by MLS Grid,2052861,N,Y,47.6925688,-122.291905
PAST SALE,February-6-2023,Condo/Co-op,7323 Sand Point Way NE #311,Seattle,WA,98115,319000,1,1.0,Sand Point,662,,1985,,482,471,Sold,,,https://www.redfin.com/WA/Seattle/7323-Sand-Point-Way-NE-98115/unit-311/home/12093288,NWMLS as Distributed by MLS Grid,2026563,N,Y,47.6819329,-122.2640733
PAST SALE,June-29-2023,Single Family Residential,1118 NE 80th St,Seattle,WA,98115,760000,2,2.0,Maple Leaf,890,3600,1926,,854,,Sold,,,https://www.redfin.com/WA/Seattle/1118-NE-80th-St-98115/home/108624,NWMLS as Distributed by MLS Grid,2071578,N,Y,47.6868891,-122.3153529
PAST SALE,June-2-2023,Condo/Co-op,7001 Sand Point Way NE Unit C306,Seattle,WA,98115,440000,2,2.0,View Ridge,978,,1970,,450,674,Sold,,,https://www.redfin.com/WA/Seattle/7001-Sand-Point-Way-NE-98115/unit-C306/home/63103,NWMLS as Distributed by MLS Grid,2057463,N,Y,47.6798962,-122.2639892
PAST SALE,June-21-2023,Condo/Co-op,5844 NE 75th St Unit A302,Seattle,WA,98115,323500,1,1.0,View Ridge,685,,1977,,472,363,Sold,,,https://www.redfin.com/WA/Seattle/5844-NE-75th-St-98115/unit-A302/home/58842,NWMLS as Distributed by MLS Grid,2066468,N,Y,47.683446,-122.2645779
PAST SALE,,Condo/Co-op,401 NE 71st St #201,Seattle,WA,98115,1020000,2,2.0,,1153,,2003,,885,,,,,https://www.redfin.com/WA/Seattle/401-NE-71st-St-98115/unit-201/home/24354,,,N,Y,47.6797299,-122.3242445
PAST SALE,,Single Family Residential,1210 NE 96th St,Seattle,WA,98115,750000,2,2.0,,1420,5110,1927,,528,,,,,https://www.redfin.com/WA/Seattle/1210-NE-96th-St-98115/home/109085,,,N,Y,47.6987623,-122.3143157
PAST SALE,,Condo/Co-op,5829 NE 75th St Unit A338,Seattle,WA,98115,359950,1,1.0,,800,,1979,,450,,,,,https://www.redfin.com/WA/Seattle/5829-NE-75th-St-98115/unit-A338/home/22684803,,,N,Y,47.6825969,-122.2649777
PAST SALE,February-24-2023,Condo/Co-op,5824 NE 75th St Unit D101,Seattle,WA,98115,399000,2,2.0,View Ridge,850,,1977,,469,475,Sold,,,https://www.redfin.com/WA/Seattle/5824-NE-75th-St-98115/unit-D101/home/51057,NWMLS as Distributed by MLS Grid,2024343,N,Y,47.6832844,-122.2650599
PAST SALE,May-18-2023,Condo/Co-op,413 NE 70th St #303,Seattle,WA,98115,490000,1,1.0,Green Lake,670,,2007,,731,454,Sold,,,https://www.redfin.com/WA/Seattle/413-NE-70th-St-98115/unit-303/home/17383055,NWMLS as Distributed by MLS Grid,2044955,N,Y,47.6790114,-122.3241266
PAST SALE,August-25-2023,Condo/Co-op,5844 NE 75th St Unit A216,Seattle,WA,98115,382415,2,2.0,View Ridge,838,,1977,,456,469,Sold,,,https://www.redfin.com/WA/Seattle/5844-NE-75th-St-98115/unit-A216/home/51172,NWMLS as Distributed by MLS Grid,2136999,N,Y,47.683446,-122.2645779
PAST SALE,May-16-2023,Condo/Co-op,9508 Ravenna Ave NE #107,Seattle,WA,98115,433000,2,1.0,Lake City,941,,1979,,460,496,Sold,,,https://www.redfin.com/WA/Seattle/9508-Ravenna-Ave-NE-98115/unit-107/home/163759683,NWMLS as Distributed by MLS Grid,2041966,N,Y,47.697845,-122.3042354
PAST SALE,April-14-2023,Single Family Residential,824 NE 94th St,Seattle,WA,98115,720000,2,1.0,Northgate,1200,6380,1929,,600,,Sold,,,https://www.redfin.com/WA/Seattle/824-NE-94th-St-98115/home/109153,NWMLS as Distributed by MLS Grid,2036056,N,Y,47.6969461,-122.319314
PAST SALE,December-21-2022,Condo/Co-op,7001 Sand Point Way NE Unit A203,Seattle,WA,98115,266000,1,1.0,View Ridge,689,,1970,,386,497,Sold,,,https://www.redfin.com/WA/Seattle/7001-Sand-Point-Way-NE-98115/unit-A203/home/44329,NWMLS as Distributed by MLS Grid,1997997,N,Y,47.6798962,-122.2639892
PAST SALE,May-30-2023,Townhouse,2130 NE 89th St,Seattle,WA,98115,565000,2,1.5,Wedgwood,992,1117,2011,,570,,Sold,,,https://www.redfin.com/WA/Seattle/2130-NE-89th-St-98115/home/44657693,NWMLS as Distributed by MLS Grid,2026590,N,Y,47.6932511,-122.3043463
PAST SALE,April-13-2023,Condo/Co-op,3324 NE 65th St,Seattle,WA,98115,539000,1,1.5,Bryant,1071,,2017,,503,496,Sold,,,https://www.redfin.com/WA/Seattle/3324-NE-65th-St-98115/home/182150032,NWMLS as Distributed by MLS Grid,2056707,N,Y,47.6759095,-122.2922227
PAST SALE,,Condo/Co-op,8800 20th Ave NE Unit A202,Seattle,WA,98115,350000,2,1.5,,970,,1979,,361,,,,,https://www.redfin.com/WA/Seattle/8800-20th-Ave-NE-98115/unit-A202/home/72402,,,N,Y,47.6923656,-122.3065778
PAST SALE,April-21-2023,Single Family Residential,6847 Ravenna Ave NE,Seattle,WA,98115,800000,2,1.0,Ravenna,840,7680,1919,,952,,Sold,,,https://www.redfin.com/WA/Seattle/6847-Ravenna-Ave-NE-98115/home/310591,NWMLS as Distributed by MLS Grid,2070877,N,Y,47.6790963,-122.3043431
PAST SALE,April-27-2023,Townhouse,2346 NE 90th St,Seattle,WA,98115,783000,2,2.0,Wedgwood,1205,1735,2023,,650,14,Sold,,,https://www.redfin.com/WA/Seattle/2346-NE-90th-St-98115/home/184849213,NWMLS as Distributed by MLS Grid,2049282,N,Y,47.6943161,-122.3033744
PAST SALE,July-10-2023,Single Family Residential,4112 NE 80th St,Seattle,WA,98115,670000,2,1.0,Wedgwood,770,6897,1950,,870,,Sold,,,https://www.redfin.com/WA/Seattle/4112-NE-80th-St-98115/home/316629,NWMLS as Distributed by MLS Grid,2138210,N,Y,47.6868123,-122.2836342
PAST SALE,May-1-2023,Townhouse,2352 NE 90th St,Seattle,WA,98115,729000,2,2.0,Wedgwood,1216,1000,2023,,600,48,Sold,,,https://www.redfin.com/WA/Seattle/2352-NE-90th-St-98115/home/184796600,NWMLS as Distributed by MLS Grid,2048209,N,Y,47.6941788,-122.3031979
PAST SALE,August-15-2023,Condo/Co-op,7412 E Green Lake Dr N Unit B,Seattle,WA,98115,842000,2,2.0,Green Lake,1100,5200,1971,,765,282,Sold,,,https://www.redfin.com/WA/Seattle/7412-E-Green-Lake-Dr-N-98115/unit-B/home/8160,NWMLS as Distributed by MLS Grid,2151623,N,Y,47.6821618,-122.3276966
PAST SALE,June-23-2023,Townhouse,3537 NE 93rd,Seattle,WA,98115,643000,2,2.5,Wedgwood,840,1460,2023,,765,168,Sold,,,https://www.redfin.com/WA/Seattle/3537-NE-93rd-St-98115/home/185923690,NWMLS as Distributed by MLS Grid,2132407,N,Y,47.6957979,-122.2889446
PAST SALE,,Condo/Co-op,401 NE 71st St #309,Seattle,WA,98115,775000,1,1.0,,935,,2003,,829,,,,,https://www.redfin.com/WA/Seattle/401-NE-71st-St-98115/unit-309/home/933,,,N,Y,47.6797299,-122.3242445
PAST SALE,August-31-2023,Single Family Residential,808 NE 95th St,Seattle,WA,98115,860000,2,2.0,Northgate,1270,6816,1949,,677,,Sold,,,https://www.redfin.com/WA/Seattle/808-NE-95th-St-98115/home/109015,NWMLS as Distributed by MLS Grid,2157405,N,Y,47.6978556,-122.3197859
PAST SALE,August-31-2023,Condo/Co-op,845 NE 91st St Unit B,Seattle,WA,98115,795000,2,2.0,Maple Leaf,1124,1472,2023,,707,50,Sold,,,https://www.redfin.com/WA/Seattle/845-NE-91st-St-98115/unit-B/home/186268861,NWMLS as Distributed by MLS Grid,2145753,N,Y,47.6947327,-122.3184354
PAST SALE,October-31-2022,Single Family Residential,822 NE 88th St Unit B,Seattle,WA,98115,760000,2,2.5,Maple Leaf,1048,1048,2022,,725,,Sold,,,https://www.redfin.com/WA/Seattle/822-NE-88th-St-98115/unit-A/home/109849,NWMLS as Distributed by MLS Grid,2014138,N,Y,47.6923774,-122.3193563
PAST SALE,April-3-2023,Condo/Co-op,6300 Sand Point Way NE #204,Seattle,WA,98115,500000,2,2.0,Windermere,1152,,1981,,434,851,Sold,,,https://www.redfin.com/WA/Seattle/6300-Sand-Point-Way-NE-98115/unit-204/home/14150,NWMLS as Distributed by MLS Grid,2052376,N,Y,47.6745178,-122.2639219
PAST SALE,August-14-2023,Single Family Residential,6821 28th Ave NE,Seattle,WA,98115,680000,2,2.0,Ravenna,950,3000,1928,,716,,Sold,,,https://www.redfin.com/WA/Seattle/6821-28th-Ave-NE-98115/home/317619,NWMLS as Distributed by MLS Grid,2151522,N,Y,47.678325,-122.2977038
PAST SALE,,Single Family Residential,1035 NE 98th St,Seattle,WA,98115,1124000,4,3.5,,2110,10218,2023,,533,,,,,https://www.redfin.com/WA/Seattle/1035-NE-98th-St-98115/home/110642,,,N,Y,47.7001742,-122.3161523
PAST SALE,October-16-2023,Condo/Co-op,1524 NE 90th St Unit B,Seattle,WA,98115,790000,2,2.5,Maple Leaf,,,2023,,,171,Sold,,,https://www.redfin.com/WA/Seattle/1524-NE-90th-St-98115/unit-B/home/187527212,NWMLS as Distributed by MLS Grid,2162747,N,Y,47.6941842,-122.3109013
PAST SALE,September-29-2023,Townhouse,9210 C Roosevelt Way NE,Seattle,WA,98115,750000,2,2.0,Maple Leaf,1093,1438,2023,,686,,Sold,,,https://www.redfin.com/WA/Seattle/9210-Roosevelt-Way-NE-98115/home/184216380,NWMLS as Distributed by MLS Grid,2159240,N,Y,47.6961824,-122.3173598
PAST SALE,August-31-2023,Condo/Co-op,6839 35th Ave NE Unit B,Seattle,WA,98115,715000,2,2.5,Bryant,875,832,2023,,817,51,Sold,,,https://www.redfin.com/WA/Seattle/6839-35th-Ave-NE-98115/unit-B/home/187302350,NWMLS as Distributed by MLS Grid,2157426,N,Y,47.6787106,-122.2907165
PAST SALE,August-17-2023,Townhouse,851 NE 91st St Unit B,Seattle,WA,98115,800000,2,2.0,Maple Leaf,1124,1436,2023,,712,1,Sold,,,https://www.redfin.com/WA/Seattle/851-NE-91st-St-98115/unit-B/home/186256390,NWMLS as Distributed by MLS Grid,2151230,N,Y,47.6947204,-122.3180852
PAST SALE,August-9-2023,Single Family Residential,7343 17th Ave NE,Seattle,WA,98115,680000,2,2.0,Ravenna,1844,4794,1909,,369,,Sold,,,https://www.redfin.com/WA/Seattle/7343-17th-Ave-NE-98115/home/311021,NWMLS as Distributed by MLS Grid,2136244,N,Y,47.6824651,-122.3102554
PAST SALE,March-24-2023,Condo/Co-op,6300 Sand Point Way NE #306,Seattle,WA,98115,470000,1,1.0,Sand Point,831,,1981,,566,644,Sold,,,https://www.redfin.com/WA/Seattle/6300-Sand-Point-Way-NE-98115/unit-306/home/67147,NWMLS as Distributed by MLS Grid,2040244,N,Y,47.6745178,-122.2639219
