SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-6-2023,Condo/Co-op,2415 2nd Ave #340,Seattle,WA,98121,430000,1.0,1.0,Belltown,551,,1994.0,,780,544.0,Sold,,,https://www.redfin.com/WA/Seattle/2415-2nd-Ave-98121/unit-340/home/73025,NWMLS as Distributed by MLS Grid,2071397.0,N,Y,47.6149368,-122.347611
PAST SALE,June-21-2023,Condo/Co-op,2801 1st Ave #403,Seattle,WA,98121,429950,1.0,1.0,Belltown,608,,2001.0,,707,455.0,Sold,,,https://www.redfin.com/WA/Seattle/2801-1st-Ave-98121/unit-403/home/21816,NWMLS as Distributed by MLS Grid,2065738.0,N,Y,47.6163521,-122.3521048
PAST SALE,June-7-2023,Condo/Co-op,910 Lenora St Unit S501,Seattle,WA,98121,674000,1.0,1.0,Belltown,918,,2006.0,,734,1134.0,Sold,,,https://www.redfin.com/WA/Seattle/910-Lenora-St-98121/unit-S501/home/12092529,NWMLS as Distributed by MLS Grid,2061692.0,N,Y,47.61772,-122.3368449
PAST SALE,October-11-2023,Condo/Co-op,820 Blanchard St #1101,Seattle,WA,98121,642500,1.0,1.0,Denny Triangle,891,,2009.0,,721,924.0,Sold,,,https://www.redfin.com/WA/Seattle/820-Blanchard-St-98121/unit-1101/home/28623835,NWMLS as Distributed by MLS Grid,2158880.0,N,Y,47.617753,-122.3387784
PAST SALE,November-30-2022,Condo/Co-op,2911 2nd Ave #405,Seattle,WA,98121,331000,1.0,1.0,Belltown,571,,2009.0,,580,488.0,Sold,,,https://www.redfin.com/WA/Seattle/2911-2nd-Ave-98121/unit-405/home/21616435,NWMLS as Distributed by MLS Grid,2014669.0,N,Y,47.6176125,-122.3523057
PAST SALE,June-27-2023,Condo/Co-op,2414 1st Ave #412,Seattle,WA,98121,459000,1.0,1.0,Belltown,551,,1994.0,,833,544.0,Sold,,,https://www.redfin.com/WA/Seattle/2414-1st-Ave-98121/unit-412/home/14693,NWMLS as Distributed by MLS Grid,2101754.0,N,Y,47.6146088,-122.3481088
PAST SALE,November-16-2022,Condo/Co-op,3104 Western Ave #416,Seattle,WA,98121,515000,1.0,1.0,Belltown,782,,2008.0,,659,618.0,Sold,,,https://www.redfin.com/WA/Seattle/3104-Western-Ave-98121/unit-416/home/17382847,NWMLS as Distributed by MLS Grid,1992597.0,N,Y,47.6182774,-122.3564023
PAST SALE,February-7-2023,Condo/Co-op,76 Cedar St #705,Seattle,WA,98121,495000,1.0,1.5,Belltown,918,,2008.0,,539,739.0,Sold,,,https://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-705/home/12537383,NWMLS as Distributed by MLS Grid,2022635.0,N,Y,47.6154195,-122.3515839
PAST SALE,December-28-2022,Condo/Co-op,76 Cedar St #704,Seattle,WA,98121,474000,1.0,1.5,Belltown,867,,2008.0,,547,800.0,Sold,,,https://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-704/home/12538263,NWMLS as Distributed by MLS Grid,2004074.0,N,Y,47.6154195,-122.3515839
PAST SALE,September-22-2023,Condo/Co-op,2721 1st Ave #1101,Seattle,WA,98121,1080000,2.0,2.0,Belltown,1232,,2005.0,,877,1285.0,Sold,,,https://www.redfin.com/WA/Seattle/2721-1st-Ave-98121/unit-1101/home/2087884,NWMLS as Distributed by MLS Grid,2141183.0,N,Y,47.6161682,-122.3515683
PAST SALE,April-27-2023,Condo/Co-op,820 Blanchard St #1110,Seattle,WA,98121,572000,1.0,1.0,Belltown,886,,2009.0,,646,923.0,Sold,,,https://www.redfin.com/WA/Seattle/820-Blanchard-St-98121/unit-1110/home/28623828,NWMLS as Distributed by MLS Grid,2033646.0,N,Y,47.617753,-122.3387784
PAST SALE,May-10-2023,Condo/Co-op,2621 2nd Ave #903,Seattle,WA,98121,629000,2.0,1.5,Belltown,1015,,1980.0,,620,989.0,Sold,,,https://www.redfin.com/WA/Seattle/2621-2nd-Ave-98121/unit-903/home/29488,NWMLS as Distributed by MLS Grid,2028645.0,N,Y,47.6159793,-122.3497638
PAST SALE,July-17-2023,Condo/Co-op,2911 2nd Ave #1118,Seattle,WA,98121,570000,1.0,1.0,Belltown,771,,2009.0,,739,701.0,Sold,,,https://www.redfin.com/WA/Seattle/2911-2nd-Ave-98121/unit-1118/home/21616983,NWMLS as Distributed by MLS Grid,2060341.0,N,Y,47.6176125,-122.3523057
PAST SALE,August-25-2023,Condo/Co-op,900 Lenora St Unit W300,Seattle,WA,98121,950000,2.0,2.0,Denny Triangle,1423,,2006.0,,668,1755.0,Sold,,,https://www.redfin.com/WA/Seattle/900-Lenora-St-98121/unit-W300/home/12092566,NWMLS as Distributed by MLS Grid,2062423.0,N,Y,47.617549,-122.3370994
PAST SALE,August-24-2023,Condo/Co-op,3028 Western Ave #113,Seattle,WA,98121,344000,1.0,1.0,Belltown,590,,1991.0,,583,425.0,Sold,,,https://www.redfin.com/WA/Seattle/3028-Western-Ave-98121/unit-113/home/29679,NWMLS as Distributed by MLS Grid,2061609.0,N,Y,47.6179402,-122.3554715
PAST SALE,August-31-2023,Condo/Co-op,2607 Western Ave #1001,Seattle,WA,98121,865000,2.0,2.0,Belltown,1222,,2002.0,,708,1445.0,Sold,,,https://www.redfin.com/WA/Seattle/2607-Western-Ave-98121/unit-1001/home/53186,NWMLS as Distributed by MLS Grid,2047992.0,N,Y,47.6146438,-122.3509796
PAST SALE,June-9-2023,Condo/Co-op,2510 6th Ave #1608,Seattle,WA,98121,1418000,2.0,2.0,Denny Triangle,1188,,2021.0,,1194,1120.0,Sold,,,https://www.redfin.com/WA/Seattle/2510-6th-Ave-98121/unit-1608/home/185551014,NWMLS as Distributed by MLS Grid,2073935.0,N,Y,47.6182832,-122.344644
PAST SALE,January-27-2023,Condo/Co-op,2125 1st Ave #1804,Seattle,WA,98121,1700000,2.0,2.0,Belltown,1459,,1981.0,,1165,1631.0,Sold,,,https://www.redfin.com/WA/Seattle/2125-1st-Ave-98121/unit-1804/home/55102,NWMLS as Distributed by MLS Grid,2036890.0,N,Y,47.6121916,-122.3451946
PAST SALE,May-4-2023,Condo/Co-op,2721 1st,Seattle,WA,98121,1180000,1.0,2.0,Belltown,1338,,2005.0,,882,1396.0,Sold,,,https://www.redfin.com/WA/Seattle/2721-1st-Ave-98121/home/2094567,NWMLS as Distributed by MLS Grid,2077042.0,N,Y,47.6161682,-122.3515683
PAST SALE,October-11-2023,Condo/Co-op,2510 6th Ave #2701,Seattle,WA,98121,819000,1.0,1.0,Denny Triangle,765,,2021.0,,1071,722.0,Sold,,,https://www.redfin.com/WA/Seattle/2510-6th-Ave-98121/unit-2701/home/187587266,NWMLS as Distributed by MLS Grid,2163647.0,N,Y,47.6182832,-122.344644
PAST SALE,August-21-2023,Condo/Co-op,2510 6th Ave #2508,Seattle,WA,98121,1750000,2.0,2.0,Denny Triangle,1188,,2021.0,,1473,1120.0,Sold,,,https://www.redfin.com/WA/Seattle/2510-6th-Ave-98121/unit-2508/home/185809855,NWMLS as Distributed by MLS Grid,2129066.0,N,Y,47.6182832,-122.344644
PAST SALE,June-30-2023,Condo/Co-op,2510 6th Ave #2705,Seattle,WA,98121,758000,1.0,1.0,Denny Triangle,584,,2021.0,,1298,551.0,Sold,,,https://www.redfin.com/WA/Seattle/2510-6th-Ave-98121/unit-2705/home/185583925,NWMLS as Distributed by MLS Grid,2075700.0,N,Y,47.6182832,-122.344644
PAST SALE,February-28-2023,Condo/Co-op,2510 6th Ave #807,Seattle,WA,98121,455000,1.0,1.0,Denny Triangle,564,,2021.0,,807,532.0,Sold,,,https://www.redfin.com/WA/Seattle/2510-6th-Ave-98121/unit-807/home/175257213,NWMLS as Distributed by MLS Grid,2035664.0,N,Y,47.6180481,-122.3445132
