SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-22-2023,Condo/Co-op,348 W Olympic Pl #206,Seattle,WA,98119,855000.0,2.0,1.0,Queen Anne,1078.0,,1929.0,,793.0,811.0,Sold,,,https://www.redfin.com/WA/Seattle/348-W-Olympic-Pl-98119/unit-206/home/5820,NWMLS as Distributed by MLS Grid,2060719.0,N,Y,47.6269998,-122.3627728
PAST SALE,November-10-2022,Single Family Residential,811 W Blaine St,Seattle,WA,98119,1795000.0,3.0,3.5,Queen Anne,2480.0,2400.0,1914.0,,724.0,,Sold,,,https://www.redfin.com/WA/Seattle/811-W-Blaine-St-98119/home/134518,NWMLS as Distributed by MLS Grid,2007682.0,N,Y,47.6345337,-122.3682534
PAST SALE,January-11-2023,Single Family Residential,1524 5th Ave W Unit C,Seattle,WA,98119,779950.0,2.0,2.5,Queen Anne,1000.0,590.0,2022.0,,780.0,34.0,Sold,,,https://www.redfin.com/WA/Seattle/1524-5th-Ave-W-98119/unit-C/home/183294792,NWMLS as Distributed by MLS Grid,2021785.0,N,Y,47.6331126,-122.3633905
PAST SALE,November-14-2022,Single Family Residential,1009 W Armour St,Seattle,WA,98119,1300000.0,3.0,2.5,Queen Anne,2620.0,4080.0,1908.0,,496.0,,Sold,,,https://www.redfin.com/WA/Seattle/1009-W-Armour-St-98119/home/130538,NWMLS as Distributed by MLS Grid,2007495.0,N,Y,47.6448368,-122.3707201
PAST SALE,July-25-2023,Single Family Residential,1923 5th Ave W,Seattle,WA,98119,2600000.0,4.0,3.5,Queen Anne,3290.0,3600.0,1907.0,,790.0,,Sold,,,https://www.redfin.com/WA/Seattle/1923-5th-Ave-W-98119/home/135082,NWMLS as Distributed by MLS Grid,2136520.0,N,Y,47.6366378,-122.3640135
PAST SALE,November-1-2022,Single Family Residential,1949 3rd Ave W,Seattle,WA,98119,1015000.0,2.0,1.0,Queen Anne,1900.0,3600.0,1906.0,,534.0,,Sold,,,https://www.redfin.com/WA/Seattle/1949-3rd-Ave-W-98119/home/133330,NWMLS as Distributed by MLS Grid,1998295.0,N,Y,47.6373817,-122.3612484
PAST SALE,April-26-2023,Single Family Residential,516 W Smith St,Seattle,WA,98119,1329000.0,4.0,2.5,Queen Anne,2630.0,2568.0,1910.0,,505.0,,Sold,,,https://www.redfin.com/WA/Seattle/516-W-Smith-St-98119/home/129598,NWMLS as Distributed by MLS Grid,2045275.0,N,Y,47.6415987,-122.364337
PAST SALE,February-28-2023,Condo/Co-op,2244 13th Ave W #204,Seattle,WA,98119,385000.0,1.0,1.0,Queen Anne,605.0,,1990.0,,636.0,516.0,Sold,,,https://www.redfin.com/WA/Seattle/2244-13th-Ave-W-98119/unit-204/home/35253,NWMLS as Distributed by MLS Grid,2033928.0,N,Y,47.6397039,-122.3733337
PAST SALE,July-7-2023,Single Family Residential,2915 4th Ave W,Seattle,WA,98119,1538888.0,4.0,2.5,Queen Anne,2400.0,4902.0,1988.0,,641.0,,Sold,,,https://www.redfin.com/WA/Seattle/2915-4th-Ave-W-98119/home/130866,NWMLS as Distributed by MLS Grid,2125296.0,N,Y,47.6462995,-122.362724
PAST SALE,February-9-2023,Condo/Co-op,500 5th Ave W #502,Seattle,WA,98119,416000.0,1.0,1.0,Queen Anne,649.0,,1968.0,,641.0,490.0,Sold,,,https://www.redfin.com/WA/Seattle/500-5th-Ave-W-98119/unit-502/home/12537471,NWMLS as Distributed by MLS Grid,2027533.0,N,Y,47.6236113,-122.362813
PAST SALE,November-22-2022,Townhouse,105 W Comstock St,Seattle,WA,98119,1700000.0,3.0,2.5,Queen Anne,2168.0,,1998.0,,784.0,1076.0,Sold,,,https://www.redfin.com/WA/Seattle/105-W-Comstock-St-98119/home/16975,NWMLS as Distributed by MLS Grid,2009360.0,N,Y,47.630013,-122.3585675
PAST SALE,October-11-2023,Condo/Co-op,1909 10th Ave W #207,Seattle,WA,98119,385000.0,1.0,1.0,Queen Anne,537.0,,2002.0,,717.0,358.0,Sold,,,https://www.redfin.com/WA/Seattle/1909-10th-Ave-W-98119/unit-207/home/51294,NWMLS as Distributed by MLS Grid,2166791.0,N,Y,47.6362979,-122.3706418
PAST SALE,November-7-2022,Single Family Residential,405 W McGraw Pl,Seattle,WA,98119,850000.0,4.0,1.5,Queen Anne,2770.0,3038.0,1928.0,,307.0,,Sold,,,https://www.redfin.com/WA/Seattle/405-W-McGraw-Pl-98119/home/130158,NWMLS as Distributed by MLS Grid,2005446.0,N,Y,47.6402833,-122.3627849
PAST SALE,July-18-2023,Single Family Residential,1811 9th Ave W,Seattle,WA,98119,2302000.0,4.0,3.5,Queen Anne,3050.0,3600.0,2003.0,,755.0,,Sold,,,https://www.redfin.com/WA/Seattle/1811-9th-Ave-W-98119/home/133381,NWMLS as Distributed by MLS Grid,2128528.0,N,Y,47.6351388,-122.3693068
