SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-17-2023,Townhouse,8540 Midvale Ave N Unit A,Seattle,WA,98103,655000,3,2.0,Green Lake,1320,1351,2004,,496,,Sold,,,https://www.redfin.com/WA/Seattle/8540-Midvale-Ave-N-98103/unit-A/home/2069327,NWMLS as Distributed by MLS Grid,2160690,N,Y,47.6918023,-122.3419714
PAST SALE,February-6-2023,Condo/Co-op,4111 Whitman Ave N #304,Seattle,WA,98103,468500,3,1.0,Wallingford,799,,1947,,586,482,Sold,,,https://www.redfin.com/WA/Seattle/4111-Whitman-Ave-N-98103/unit-304/home/2087198,NWMLS as Distributed by MLS Grid,2026982,N,Y,47.6570861,-122.3463189
PAST SALE,May-12-2023,Townhouse,930 N 96th St,Seattle,WA,98103,649000,3,2.5,Greenwood,1540,1607,2010,,421,,Sold,,,https://www.redfin.com/WA/Seattle/930-N-96th-St-98103/home/40080072,NWMLS as Distributed by MLS Grid,2053278,N,Y,47.699072,-122.346177
PAST SALE,April-28-2023,Townhouse,4310 Greenwood Ave N Unit A,Seattle,WA,98103,1306000,3,3.5,Fremont,2400,1737,2006,,544,,Sold,,,https://www.redfin.com/WA/Seattle/4310-Greenwood-Ave-N-98103/unit-A/home/8189471,NWMLS as Distributed by MLS Grid,2047708,N,Y,47.659312159,-122.3550157
PAST SALE,August-24-2023,Townhouse,3632 Interlake Ave N Unit A,Seattle,WA,98103,968000,3,2.5,Wallingford,1370,1544,2008,,707,,Sold,,,https://www.redfin.com/WA/Seattle/3632-Interlake-Ave-N-98103/unit-A/home/18659919,NWMLS as Distributed by MLS Grid,2138191,N,Y,47.6513926,-122.3411394
PAST SALE,April-19-2023,Townhouse,1157 N 92nd St,Seattle,WA,98103,599950,3,2.0,Northgate,1160,948,2006,,517,,Sold,,,https://www.redfin.com/WA/Seattle/1157-N-92nd-St-98103/home/2116894,NWMLS as Distributed by MLS Grid,2045193,N,Y,47.6954714,-122.3421341
PAST SALE,March-7-2023,Townhouse,4101 Whitman Ave N Unit A,Seattle,WA,98103,846000,3,3.0,Wallingford,1342,1310,2004,,630,,Sold,,,https://www.redfin.com/WA/Seattle/4101-Whitman-Ave-N-98103/unit-A/home/120336,NWMLS as Distributed by MLS Grid,2030816,N,Y,47.6568097,-122.3462478
PAST SALE,September-25-2023,Single Family Residential,2331 N 60th St,Seattle,WA,98103,1112500,3,2.0,Green Lake,1794,3000,1909,,620,,Sold,,,https://www.redfin.com/WA/Seattle/2331-N-60th-St-98103/home/304991,NWMLS as Distributed by MLS Grid,2148791,N,Y,47.6721017,-122.3295144
PAST SALE,February-16-2023,Townhouse,2018 N 78th St,Seattle,WA,98103,885000,3,2.5,Green Lake,1440,1283,2007,,615,,Sold,,,https://www.redfin.com/WA/Seattle/2018-N-78th-St-98103/home/22068365,NWMLS as Distributed by MLS Grid,2028398,N,Y,47.6856594,-122.335211
PAST SALE,November-15-2022,Townhouse,4318 Phinney Ave N Unit B,Seattle,WA,98103,1049000,3,3.5,Fremont,1840,1500,2001,,570,,Sold,,,https://www.redfin.com/WA/Seattle/4318-Phinney-Ave-N-98103/unit-B/home/303466,NWMLS as Distributed by MLS Grid,2003166,N,Y,47.6594939,-122.3540442
PAST SALE,,Single Family Residential,727 N 91st St,Seattle,WA,98103,590000,2,1.0,,1040,6630,1947,,567,,,,,https://www.redfin.com/WA/Seattle/727-N-91st-St-98103/home/99007,,,N,Y,47.6946862,-122.3487444
PAST SALE,December-28-2022,Townhouse,4324 Linden Ave N,Seattle,WA,98103,850000,3,2.5,Fremont,1430,1315,2008,,594,,Sold,,,https://www.redfin.com/WA/Seattle/4324-Linden-Ave-N-98103/home/303249,NWMLS as Distributed by MLS Grid,2025747,N,Y,47.6599451,-122.3484033
PAST SALE,July-25-2023,Townhouse,9234 Densmore Ave N,Seattle,WA,98103,769000,3,2.0,Seattle,1109,5159,2023,,693,50,Sold,,,https://www.redfin.com/WA/Seattle/9234-Densmore-Ave-N-98103/home/186034446,NWMLS as Distributed by MLS Grid,2135903,N,Y,47.6969968,-122.3373307
PAST SALE,January-26-2023,Single Family Residential,4306 A Woodlawn Ave N,Seattle,WA,98103,839000,3,2.0,Wallingford,1324,779,2022,,634,,Sold,,,https://www.redfin.com/WA/Seattle/4306-Woodlawn-Ave-N-98103/unit-A/home/117901,NWMLS as Distributed by MLS Grid,2025849,N,Y,47.6594104,-122.3382698
PAST SALE,August-21-2023,Townhouse,3630 Whitman Ave N Unit A,Seattle,WA,98103,945000,3,2.0,Fremont,1283,1214,2023,,737,,Sold,,,https://www.redfin.com/WA/Seattle/3630-Whitman-Ave-N-98103/unit-A/home/187047635,NWMLS as Distributed by MLS Grid,2154753,N,Y,47.6517043,-122.3457567
PAST SALE,May-30-2023,Townhouse,1202 A N 47th St,Seattle,WA,98103,1050000,3,2.5,Wallingford,1524,1747,2023,,689,,Sold,,,https://www.redfin.com/WA/Seattle/1202-A-N-47th-St-98103/home/185462668,NWMLS as Distributed by MLS Grid,2070588,N,Y,47.663019,-122.343514
PAST SALE,,Townhouse,2020 N 78th St,Seattle,WA,98103,885000,3,2.5,,1440,1283,2007,,615,,,,,https://www.redfin.com/WA/Seattle/2020-N-78th-St-98103/home/307609,,,N,Y,47.6855997,-122.3351489
PAST SALE,March-23-2023,Single Family Residential,5208 Kirkwood Ave N,Seattle,WA,98103,1300000,3,2.0,Wallingford,2160,5625,1951,,602,,Sold,,,https://www.redfin.com/WA/Seattle/5208-Kirkwood-Pl-N-98103/home/305565,NWMLS as Distributed by MLS Grid,2049165,N,Y,47.6665039,-122.3297673
PAST SALE,April-27-2023,Single Family Residential,617 N 48th St,Seattle,WA,98103,975000,3,2.0,Fremont,2000,5000,1920,,488,,Sold,,,https://www.redfin.com/WA/Seattle/617-N-48th-St-98103/home/298713,NWMLS as Distributed by MLS Grid,2061134,N,Y,47.6633847,-122.3506766
