SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,May-19-2023,Single Family Residential,325 23rd Ave E,Seattle,WA,98112,1125000,3.0,3.0,Capitol Hill,2650,3752.0,1904.0,,425,,Sold,,,https://www.redfin.com/WA/Seattle/325-23rd-Ave-E-98112/home/145077,NWMLS as Distributed by MLS Grid,2054456.0,N,Y,47.6221751,-122.30282290000001,"Perched up above the street this conveniently located Capitol Hill home is the one you’ve been looking for! Easy access to Capitol Hill and Madison Valley’s vibrant restaurant & shopping districts, downtown, SLU, major freeways, & public transit. An expansive deck off the front of the home greets you. Enter home to high ceilings, hardwoods throughout living/dining rooms. Beautifully updated kitchen w/quartz counters & S.S. appliances. Full bath w/clawfoot tub! Upper level features primary bedroom w/walk-in closet & mountain view balcony, a large 2nd bedroom, & renovated full bath. Lower level - family room/office/flex space, 3rd bdrm, W/D, & garage access. New electrical throughout. Private, fenced backyard. Studio off the back of the home. Show less"
PAST SALE,November-28-2022,Townhouse,132 21st Ave E Unit C,Seattle,WA,98112,1000000,3.0,2.5,Capitol Hill,1580,1200.0,2017.0,,633,,Sold,,,https://www.redfin.com/WA/Seattle/132-21st-Ave-E-98112/unit-C/home/113995101,NWMLS as Distributed by MLS Grid,2007218.0,N,Y,47.6195317,-122.3042844,"Amazing opportunity to live in a quiet neighborhood, & still be close to all the best of Capitol Hill! This beautiful Isola Townhome is a rare find, featuring two huge decks for entertaining, one off the main living area & another on the rooftop. Stainless appliances, gas cooking, quartz, beautiful hardwoods, California Closets in primary bedroom & pantry are new this year, and Central gas heat & A/C. Lower level ensuite, with separate entrance, mid-level living area, & 3rd floor with primary suite and 3rd BD that makes a great WFH office. Shared garage parking with room for storage. No HOA. With a Walk Score of 89 you are just minutes to multiple parks, Arboretum, Light-rail, & MS Connector, Pike/Pine corridor, grocery, cafes & dining. Show less"
PAST SALE,June-16-2023,Single Family Residential,3425 E Florence Ct,Seattle,WA,98112,2185000,4.0,3.5,Denny Blaine,3340,3865.0,2008.0,,654,,Sold,,,https://www.redfin.com/WA/Seattle/3425-E-Florence-Ct-98112/home/140816,NWMLS as Distributed by MLS Grid,2056181.0,N,Y,47.6188717,-122.2878832,"Welcome to 3425 E Florence Ct in highly desired Denny Blaine. Superb newer construction combining classic details with the best modern amenities. High ceilings, extensive millwork, custom built-ins, 8’ fir doors, beautiful hardwoods, & generously sized rooms throughout. Main level features a grand hall, living/dining rooms that flow seamlessly together, a spacious chef’s kitchen with Belmont Cherry cabinets, expansive island, SS Viking/Subzero/Bosch appliances, built-in Miele Espresso machine, & wine bar. Upstairs is a luxurious primary suite, plus two spacious guests rooms, & laundry room. Lower level flex/living area, bath & kitchen currently used as an Airbnb. Close to great Parks, transit, top schools, & dining/shopping in Madrona. Show less"
PAST SALE,May-17-2023,Condo/Co-op,2501 Canterbury Ln E #419,Seattle,WA,98112,715000,2.0,2.0,Madison Park,943,,1967.0,,758,874.0,Sold,,,https://www.redfin.com/WA/Seattle/2501-Canterbury-Ln-E-98112/unit-419/home/9389,NWMLS as Distributed by MLS Grid,2042063.0,N,Y,47.642511600000006,-122.2809804,"Spectacular top-floor, water-view Condo at Canterbury Shores in Madison Park! Vaulted ceiling creates height & grandeur, floor-to-ceiling windows maximize the views and flood the space with natural light. Freshly updated home features hardwood floors, modern design finishes, an open kitchen, and AC. Primary suite, spacious 2nd bedroom and guest bath. Views of Husky Stadium & Union Bay from covered balcony, perfect for al fresco dining. Unbeatable location on the shores of Lake WA with lake-front access, dock & boat moorage, outdoor pool, secure parking garage, storage unit & more. Leisurely stroll to parks, shops & fine dining of Madison Park. Recent $11M building renovation includes new roof, siding, windows, decks & hallways. No Rent Cap Show less"
PAST SALE,February-17-2023,Single Family Residential,1825 39th Ave E,Seattle,WA,98112,1350000,3.0,2.0,Madison Park,2370,5400.0,1956.0,,570,,Sold,,,https://www.redfin.com/WA/Seattle/1825-39th-Ave-E-98112/home/139475,NWMLS as Distributed by MLS Grid,2026951.0,N,Y,47.6353929,-122.2831317,"Welcome Home to life in the Heart of Madison Park in this lovingly maintained home with fresh paint and updates throughout. Spacious and Bright, the living room features a cozy gas fireplace, picture windows and hardwood floors throughout the main floor. The freshly painted kitchen features stainless appliances and new flooring. 3 generous bedrooms upstairs share a refreshed bathroom. Downstairs is all about flexibility including a built out office with murphy bed and a 2nd living area with en-suite full bath that could be also be used for primary bedroom or potential ADU. The yard is a gardener’s delight with brick patio space and a carport for 2 off of the alley. Steps to everything in one of Seattle's most desired locations! Show less"
PAST SALE,January-6-2023,Single Family Residential,2057 41st Ave E,Seattle,WA,98112,1600000,3.0,2.0,Madison Park,2020,4000.0,1927.0,,792,,Sold,,,https://www.redfin.com/WA/Seattle/2057-41st-Ave-E-98112/home/140065,NWMLS as Distributed by MLS Grid,2009354.0,N,Y,47.6386436,-122.27999469999999,"Welcome Home to life in the Heart of Madison Park – with seller financing at 3.99% on first 500K (interest-only). This charming bungalow is sure to delight! Imagine morning coffee on the coveted large front porch that welcomes you home each day or step out to the beautifully landscaped, FF yard, w/ oversized deck & patio for wonderful gatherings year round. Updated Gourmet Kitchen w/ breakfast nook, Bathrooms, floors and new paint inside & out. Gorgeous HW and tile surfaces warm the home along with cozy FP, window seats, vaulted ceilings and so much more. A sunny family Rm, L R& DR, 2 bdrms or flex office complete main floor! LL Private Ensuite Bdrm, Rec Rm and Laundry. Walk to everything in one of Seattle's most desired locations. Show less"
PAST SALE,December-20-2022,Single Family Residential,1119 19th Ave E,Seattle,WA,98112,1750000,4.0,2.5,North Capitol Hill,2900,4800.0,1908.0,,603,,Sold,,,https://www.redfin.com/WA/Seattle/1119-19th-Ave-E-98112/home/136277,NWMLS as Distributed by MLS Grid,1996087.0,N,Y,47.6292689,-122.30760790000001,"Perched above the street this stunning 1908 North Capitol Hill Craftsman is a show stopper! The inviting rocking chair front porch is perfect for relaxing after a long day or the back garden patio w/koi pond & fountain makes a peaceful place to retreat or entertain. Entering the home you’ll appreciate the inlay wood floors, period details, & great light throughout. Living rm w/fireplace, formal dining, & library, all w/high ceilings. Powder rm. Eat-in kitchen w/marble counters, sub-zero frig, & custom cabinetry. Upstairs has 3 lrg bdrms, walk-in closets, & full bath w/clawfoot bathtub. Lower level hosts a media room, 4th bdrm, a built-in office, laundry rm, & custom bath w/shower/steam rm. 1 car detached garage off alley. A/C! Welcome home! Show less"
PAST SALE,October-27-2023,Condo/Co-op,2360 43rd Ave E #402,Seattle,WA,98112,550000,1.0,1.0,Madison Park,813,,1966.0,,677,840.0,Sold,,,https://www.redfin.com/WA/Seattle/2360-43rd-Ave-E-98112/unit-402/home/2925,NWMLS as Distributed by MLS Grid,2125358.0,N,Y,47.640699600000005,-122.2761271,"Stunning top floor waterfront home, with breathtaking views of Lake Washington. Mid-century architecture with vaulted ceilings, fireplace, updated kitchen & bath, fresh interior paint and brand new carpet. Madison Park offers a luxurious beach lifestyle with convenient access to the best shops, restaurants, and cafes. Parking AND in-unit washer/dryer included, with world class building amenities: modern fitness center, onsite management, high speed internet, swim dock, kayak launcher, laundry rooms & storage on each floor. Dogs & cats under 20lb allowed, and no rental cap after 1 year of ownership. Show less"
PAST SALE,March-23-2023,Single Family Residential,2053 41st Ave E,Seattle,WA,98112,1900000,3.0,3.0,Madison Park,2834,4000.0,1926.0,,670,,Sold,,,https://www.redfin.com/WA/Seattle/2053-41st-Ave-E-98112/home/140064,NWMLS as Distributed by MLS Grid,2052692.0,N,Y,47.6385395,-122.2799342,Skipped after 4 retries
PAST SALE,May-4-2023,Single Family Residential,2423 E Miller St,Seattle,WA,98112,900000,3.0,2.0,Montlake,2000,5000.0,1921.0,,450,,Sold,,,https://www.redfin.com/WA/Seattle/2423-E-Miller-St-98112/home/138265,NWMLS as Distributed by MLS Grid,2065980.0,N,Y,47.6415408,-122.30101859999999,"Restored and remodeled Montlake Crafstman Home is perfect for both entertaining and everyday living. With its charming style, the home boasts a newly remodeled gourmet kitchen with an eating space, an enormous formal dining room, and a lavish, restored bath. Spacious Bedrooms. The lower level includes a three-quarter bath and offers potential for futre expansion. The upper level features a finished den. French doors lead to a deck in the gorgeous backyart. The location is highly convenience with walking distance to Light Rail and just minutes away from US, Downtown, the Eastside, and Amazon. Show less"
PAST SALE,July-17-2023,Single Family Residential,1440 Broadmoor Dr E,Seattle,WA,98112,4400000,3.0,3.5,Broadmoor,3880,7370.0,1935.0,,1134,175.0,Sold,,,https://www.redfin.com/WA/Seattle/1440-Broadmoor-Dr-E-98112/home/138882,NWMLS as Distributed by MLS Grid,2140674.0,N,Y,47.6326696,-122.28797759999999,"Is it possible to have a love affair with a home? In this case, absolutely! Curb appeal, check! And once you enter through that front door...the magic begins. Walls of divided light windows flood this home with happy sunshine, and one of the most lovely golf course views I have ever seen. An open floorplan is at once, practical and over the top, magazine-worthy gorgeous! Elizabeth Ayer, that fames architect of yesteryear...she knew how to design a home with that certain something, that charming personality that simply oozes...Be still my beating heart! Show less"
PAST SALE,February-9-2023,Single Family Residential,1848 40th Ave E,Seattle,WA,98112,1598000,3.0,2.0,Madison Park,1900,5500.0,1951.0,,841,,Sold,,,https://www.redfin.com/WA/Seattle/1848-40th-Ave-E-98112/home/140332,NWMLS as Distributed by MLS Grid,2036125.0,N,Y,47.6360458,-122.2817365,"Classic mid-century Madison Park beauty w/ updated lush landscaping. Quaint & quiet, yet just blocks to Mad Park Village. Open space illuminated by huge picture windows; indoor/outdoor living on TREX decks; rich refinished hardwds. Breezy flow kitchen to dining to living, w/ wood burning fireplace. Kitchen w/ all-new quartz counters & hardware; epic owner’s suite - an island of tranquility w/ closet & ensuite of dreams. Incredible English garden backyard, w/ whimsical brick path arcing past palatial lawn & private landscaping - fully fenced. Nearby shops, dining, transit options & easy access to freeways. Bonuses: blocks to McGilvra Elementary, parking for 6; new heat pump/AC; all new paint. Show less"
PAST SALE,July-15-2023,Single Family Residential,118 26th Ave E Unit A,Seattle,WA,98112,1550000,3.0,2.5,Madison Valley,2333,1329.0,2022.0,,664,,Sold,,,https://www.redfin.com/WA/Seattle/118-26th-Ave-E-98112/unit-A/home/182577924,NWMLS as Distributed by MLS Grid,2127997.0,N,Y,47.6195519,-122.2983244,"Modern luxury home located in Madison Valley. Private garage, double stained cedar siding, and abundant Coeur d’Alene casement windows. Luxury details throughout. Wet bars. Fireplace in family room off gourmet kitchen. Upstairs entertainment area with panorama door opening to your outdoor decking to create an indoor/outdoor experience. Plumbing for second outdoor kitchen on the top floor. 5-star master bath with soaking bath. Walk in, built-in closet in every bedroom. Ask about our financing incentives. Show less"
PAST SALE,November-1-2022,Single Family Residential,535 20th Ave E #301,Seattle,WA,98112,620000,0.0,,Capitol Hill,1053,7937.0,1923.0,,589,610.0,Sold,,,https://www.redfin.com/WA/Seattle/535-20th-Ave-E-98112/unit-301/home/10749,NWMLS as Distributed by MLS Grid,2022149.0,N,Y,47.6242787,-122.3062726,Skipped after 4 retries
PAST SALE,February-3-2023,Single Family Residential,1927 Shenandoah Dr E,Seattle,WA,98112,3600000,3.0,3.5,Broadmoor,5366,18493.0,1929.0,,671,350.0,Sold,,,https://www.redfin.com/WA/Seattle/1927-Shenandoah-Dr-E-98112/home/138816,NWMLS as Distributed by MLS Grid,2033199.0,N,Y,47.636882899999996,-122.2896926,Skipped after 4 retries
