SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-11-2023,Single Family Residential,9416 32nd Ave NE,Seattle,WA,98115,950000,3,2.0,Wedgwood,1530,4495,1946,,621,,Sold,,,https://www.redfin.com/WA/Seattle/9416-32nd-Ave-NE-98115/home/317490,NWMLS as Distributed by MLS Grid,2127748,N,Y,47.6971338,-122.2929935
PAST SALE,October-24-2023,Single Family Residential,7020 33rd Ave NE,Seattle,WA,98115,1589000,3,2.5,Wedgwood,2560,3800,2006,,621,,Sold,,,https://www.redfin.com/WA/Seattle/7020-33rd-Ave-NE-98115/home/316902,NWMLS as Distributed by MLS Grid,2168221,N,Y,47.6800557,-122.2921891
PAST SALE,May-9-2023,Single Family Residential,826 NE 80th St,Seattle,WA,98115,805000,3,2.0,Maple Leaf,1660,4080,1925,,485,,Sold,,,https://www.redfin.com/WA/Seattle/826-NE-80th-St-98115/home/108884,NWMLS as Distributed by MLS Grid,2049192,N,Y,47.686942,-122.3190609
PAST SALE,May-17-2023,Single Family Residential,545 NE 89th St,Seattle,WA,98115,993500,3,2.0,Northgate,2250,6380,1941,,442,,Sold,,,https://www.redfin.com/WA/Seattle/545-NE-89th-St-98115/home/109207,NWMLS as Distributed by MLS Grid,2060414,N,Y,47.6929233,-122.3211726
PAST SALE,June-20-2023,Single Family Residential,8917 12th Ave NE,Seattle,WA,98115,1260000,3,2.5,Maple Leaf,2080,3235,2011,,606,,Sold,,,https://www.redfin.com/WA/Seattle/8917-12th-Ave-NE-98115/home/40089282,NWMLS as Distributed by MLS Grid,2061755,N,Y,47.6935391,-122.3153531
PAST SALE,December-7-2022,Single Family Residential,7448 Latona Ave NE,Seattle,WA,98115,1149000,3,3.0,Green Lake,1888,1332,2005,,609,133,Sold,,,https://www.redfin.com/WA/Seattle/7448-Latona-Ave-NE-98115/home/2097296,NWMLS as Distributed by MLS Grid,2010279,N,Y,47.6830083,-122.325042
PAST SALE,February-7-2023,Single Family Residential,8409 36th Ave NE,Seattle,WA,98115,875000,3,2.0,Wedgwood,1850,6550,1946,,473,,Sold,,,https://www.redfin.com/WA/Seattle/8409-36th-Ave-NE-98115/home/318575,NWMLS as Distributed by MLS Grid,2028947,N,Y,47.6898512,-122.2896428
PAST SALE,October-25-2023,Single Family Residential,6805 25th Ave NE,Seattle,WA,98115,1030000,3,2.5,Ravenna,1550,3765,2014,,665,,Sold,,,https://www.redfin.com/WA/Seattle/6805-25th-Ave-NE-98115/home/52428545,NWMLS as Distributed by MLS Grid,2158591,N,Y,47.6778166,-122.3009539
PAST SALE,March-30-2023,Single Family Residential,1618 NE 80th St,Seattle,WA,98115,850000,3,2.5,Northgate,1500,3100,1930,,567,,Sold,,,https://www.redfin.com/WA/Seattle/1618-NE-80th-St-98115/home/309800,NWMLS as Distributed by MLS Grid,2029180,N,Y,47.68684,-122.3102448
PAST SALE,February-15-2023,Single Family Residential,1605 NE 80th St,Seattle,WA,98115,800000,3,2.0,Northgate,1520,3026,1981,,526,,Sold,,,https://www.redfin.com/WA/Seattle/1605-NE-80th-St-98115/home/309286,NWMLS as Distributed by MLS Grid,2010124,N,Y,47.6865629,-122.3107214
PAST SALE,June-30-2023,Single Family Residential,7726 39th Ave S,Seattle,WA,98118,720000,3,3.5,Holly Park,1770,2253,2005,,407,79,Sold,,,https://www.redfin.com/WA/Seattle/7726-39th-Ave-NE-98115/home/2090555,NWMLS as Distributed by MLS Grid,2037196,N,Y,47.6856724,-122.2860446
PAST SALE,March-30-2023,Townhouse,8909 Roosevelt Way NE Unit B,Seattle,WA,98115,740000,3,1.5,Northgate,1390,1691,2014,,532,,Sold,,,https://www.redfin.com/WA/Seattle/8909-Roosevelt-Way-NE-98115/unit-B/home/59703688,NWMLS as Distributed by MLS Grid,2019657,N,Y,47.6933568,-122.3180053
PAST SALE,,Single Family Residential,832 NE 91st St,Seattle,WA,98115,865000,3,1.0,,1180,6380,1930,,733,,,,,https://www.redfin.com/WA/Seattle/832-NE-91st-St-98115/home/110409,,,N,Y,47.6951192,-122.3189782
PAST SALE,July-19-2023,Townhouse,6215 9th Ave NE Unit B,Seattle,WA,98115,829950,3,2.5,Roosevelt,1282,809,2023,,647,,Sold,,,https://www.redfin.com/WA/Seattle/6215-9th-Ave-NE-98115/unit-B/home/185813860,NWMLS as Distributed by MLS Grid,2129198,N,Y,47.6737959,-122.3189662
PAST SALE,April-21-2023,Single Family Residential,7710 30th Ave NE,Seattle,WA,98115,950000,3,2.0,Wedgwood,2620,9180,1956,,363,,Sold,,,https://www.redfin.com/WA/Seattle/7710-30th-Ave-NE-98115/home/316270,NWMLS as Distributed by MLS Grid,2062584,N,Y,47.6852209,-122.2956412
PAST SALE,April-3-2023,Single Family Residential,103 NE 63rd St,Seattle,WA,98115,855000,3,1.5,Seattle,2330,6120,1902,,367,,Sold,,,https://www.redfin.com/WA/Seattle/103-NE-63rd-St-98115/home/305956,NWMLS as Distributed by MLS Grid,2052079,N,Y,47.6741897,-122.3279548
PAST SALE,February-7-2023,Single Family Residential,7011 18th Ave NE,Seattle,WA,98115,650000,3,2.0,Ravenna,2340,4590,1947,,278,,Sold,,,https://www.redfin.com/WA/Seattle/7011-18th-Ave-NE-98115/home/309900,NWMLS as Distributed by MLS Grid,2034156,N,Y,47.679813,-122.3090328
PAST SALE,February-10-2023,Single Family Residential,1542 NE 88th St,Seattle,WA,98115,690000,3,1.5,Maple Leaf,1780,7278,1936,,388,,Sold,,,https://www.redfin.com/WA/Seattle/1542-NE-88th-St-98115/home/108132,NWMLS as Distributed by MLS Grid,2035668,N,Y,47.6923668,-122.3105175
PAST SALE,,Single Family Residential,9420 17th Ave NE,Seattle,WA,98115,665000,3,2.0,,1200,5376,1940,,554,,,,,https://www.redfin.com/WA/Seattle/9420-17th-Ave-NE-98115/home/107659,,,N,Y,47.6974224,-122.3091846
PAST SALE,February-10-2023,Townhouse,6209 9th Ave NE Unit A,Seattle,WA,98115,900000,3,2.5,Roosevelt,1450,1081,2015,,621,,Sold,,,https://www.redfin.com/WA/Seattle/6209-9th-Ave-NE-98115/unit-A/home/106203758,NWMLS as Distributed by MLS Grid,2028376,N,Y,47.6737668,-122.3189806
PAST SALE,May-10-2023,Single Family Residential,8221 34th Ave NE,Seattle,WA,98115,1150000,3,2.0,Wedgwood,2106,7000,1942,,546,,Sold,,,https://www.redfin.com/WA/Seattle/8221-34th-Ave-NE-98115/home/315000,NWMLS as Distributed by MLS Grid,2070919,N,Y,47.6885741,-122.2916588
PAST SALE,July-20-2023,Single Family Residential,6215 Vassar NE,Seattle,WA,98115,925000,3,2.5,Hawthorne Hills,2400,6325,1941,,385,,Sold,,,https://www.redfin.com/WA/Seattle/6215-Vassar-Ave-NE-98115/home/320529,NWMLS as Distributed by MLS Grid,2142693,N,Y,47.6742999,-122.2785885
PAST SALE,June-5-2023,Single Family Residential,7525 Forest Dr NE,Seattle,WA,98115,1695000,3,2.0,Sand Point Country Club,2590,8856,1951,,654,133,Sold,,,https://www.redfin.com/WA/Seattle/7525-Forest-Dr-NE-98115/home/321316,NWMLS as Distributed by MLS Grid,2077817,N,Y,47.6844562,-122.2764265
PAST SALE,March-27-2023,Single Family Residential,7314 11th Ave NE,Seattle,WA,98115,1229000,3,2.5,Roosevelt,1763,2499,2025,,697,,Sold,,,https://www.redfin.com/WA/Seattle/7314-11th-Ave-NE-98115/home/184687403,NWMLS as Distributed by MLS Grid,2043197,N,Y,47.6820113,-122.3161639
PAST SALE,August-7-2023,Single Family Residential,6544 20th Ave NE,Seattle,WA,98115,700000,3,1.0,Ravenna,1780,5600,1921,,393,,Sold,,,https://www.redfin.com/WA/Seattle/6544-20th-Ave-NE-98115/home/310602,NWMLS as Distributed by MLS Grid,2154060,N,Y,47.6771929,-122.3063052
PAST SALE,August-18-2023,Single Family Residential,8208 40th Ave NE,Seattle,WA,98115,700000,3,2.0,Wedgwood,1800,5664,1947,,389,,Sold,,,https://www.redfin.com/WA/Seattle/8208-40th-Ave-NE-98115/home/316979,NWMLS as Distributed by MLS Grid,2153638,N,Y,47.6887542,-122.2850667
PAST SALE,May-19-2023,Single Family Residential,6512 36th Ave NE,Seattle,WA,98115,1149950,3,2.0,Bryant,2180,5080,1949,,528,,Sold,,,https://www.redfin.com/WA/Seattle/6512-36th-Ave-NE-98115/home/315324,NWMLS as Distributed by MLS Grid,2059438,N,Y,47.6762313,-122.2886792
PAST SALE,March-10-2023,Townhouse,3235 NE 87th St,Seattle,WA,98115,810000,3,2.0,Wedgwood,1100,1,2023,,736,14,Sold,,,https://www.redfin.com/WA/Seattle/3235-NE-87th-St-98115/home/184247012,NWMLS as Distributed by MLS Grid,2035626,N,Y,47.6913406,-122.2917844
PAST SALE,September-28-2023,Single Family Residential,3226 NE 90th St,Seattle,WA,98115,1150000,3,2.0,Wedgwood,1950,7522,1940,,590,,Sold,,,https://www.redfin.com/WA/Seattle/3226-NE-90th-St-98115/home/318660,NWMLS as Distributed by MLS Grid,2157885,N,Y,47.6940494,-122.2921363
PAST SALE,September-1-2023,Townhouse,7461 Woodlawn Ave NE,Seattle,WA,98115,975000,3,2.5,Green Lake,1505,1158,2016,,648,,Sold,,,https://www.redfin.com/WA/Seattle/7461-Woodlawn-Ave-NE-98115/home/109660226,NWMLS as Distributed by MLS Grid,2145851,N,Y,47.6828876,-122.3280962
PAST SALE,May-10-2023,Townhouse,1714 NE 96th St Unit B,Seattle,WA,98115,719950,3,2.0,Maple Leaf,1082,1802,2023,,665,48,Sold,,,https://www.redfin.com/WA/Seattle/1714-NE-96th-St-98115/unit-B/home/185222538,NWMLS as Distributed by MLS Grid,2059641,N,Y,47.6987063,-122.3086861
PAST SALE,October-17-2023,Single Family Residential,7550 42 Ave NE,Seattle,WA,98115,1278000,3,2.5,View Ridge,2730,6000,1978,,468,,Sold,,,https://www.redfin.com/WA/Seattle/7550-42nd-Ave-NE-98115/home/316175,NWMLS as Distributed by MLS Grid,2161674,N,Y,47.6845213,-122.2828777
PAST SALE,October-2-2023,Single Family Residential,8258 17th Ave NE,Seattle,WA,98115,725000,3,1.0,Maple Leaf,1340,6324,1926,,541,,Sold,,,https://www.redfin.com/WA/Seattle/8258-17th-Ave-NE-98115/home/107591,NWMLS as Distributed by MLS Grid,2163817,N,Y,47.6901819,-122.309737
PAST SALE,February-20-2023,Single Family Residential,7721 39th Ave NE,Seattle,WA,98115,985000,3,1.0,Wedgwood,2240,6000,1950,,440,,Sold,,,https://www.redfin.com/WA/Seattle/7721-39th-Ave-NE-98115/home/315490,NWMLS as Distributed by MLS Grid,2037101,N,Y,47.6855164,-122.2866636
PAST SALE,July-24-2023,Single Family Residential,7753 19th Ave NE,Seattle,WA,98115,1250000,3,3.0,Ravenna,1990,2850,1930,,628,,Sold,,,https://www.redfin.com/WA/Seattle/7753-19th-Ave-NE-98115/home/309649,NWMLS as Distributed by MLS Grid,2125724,N,Y,47.6863798,-122.3081742
PAST SALE,February-3-2023,Single Family Residential,4037 NE 88th St,Seattle,WA,98115,932000,3,1.0,Wedgwood,2260,9000,1947,,412,,Sold,,,https://www.redfin.com/WA/Seattle/4037-NE-88th-St-98115/home/315906,NWMLS as Distributed by MLS Grid,2026402,N,Y,47.6921432,-122.2837188
PAST SALE,December-2-2022,Single Family Residential,6816 24th Ave NE,Seattle,WA,98115,1625000,3,2.5,Ravenna,2858,6180,1945,,569,,Sold,,,https://www.redfin.com/WA/Seattle/6816-24th-Ave-NE-98115/home/309400,NWMLS as Distributed by MLS Grid,2001002,N,Y,47.6780896,-122.3014249
PAST SALE,February-15-2023,Single Family Residential,320 NE 85th St,Seattle,WA,98115,985000,3,2.0,Maple Leaf,1860,4250,1964,,530,,Sold,,,https://www.redfin.com/WA/Seattle/320-NE-85th-St-98115/home/109506,NWMLS as Distributed by MLS Grid,2029858,N,Y,47.6905931,-122.3247427
PAST SALE,December-19-2022,Single Family Residential,4215 NE 85th St,Seattle,WA,98115,880000,3,1.0,Wedgwood,1460,5856,1949,,603,,Sold,,,https://www.redfin.com/WA/Seattle/4215-NE-85th-St-98115/home/318621,NWMLS as Distributed by MLS Grid,2016463,N,Y,47.6900132,-122.2827226
PAST SALE,October-19-2023,Single Family Residential,6048 4th Ave NE,Seattle,WA,98115,1280000,3,3.5,Green Lake,1915,1811,2022,,668,117,Sold,,,https://www.redfin.com/WA/Seattle/6048-4th-Ave-NE-98115/home/186036637,NWMLS as Distributed by MLS Grid,2162490,N,Y,47.6737553,-122.3240502
PAST SALE,October-2-2023,Single Family Residential,9719 19th Ave NE,Seattle,WA,98115,1205000,3,2.0,Maple Leaf,2300,6254,1925,,524,,Sold,,,https://www.redfin.com/WA/Seattle/9719-19th-Ave-NE-98115/home/106946,NWMLS as Distributed by MLS Grid,2161045,N,Y,47.7000097,-122.3081863
PAST SALE,December-2-2022,Single Family Residential,6543 44th Ave NE,Seattle,WA,98115,895000,3,1.5,View Ridge,1630,6615,1950,,549,,Sold,,,https://www.redfin.com/WA/Seattle/6543-44th-Ave-NE-98115/home/318443,NWMLS as Distributed by MLS Grid,2007401,N,Y,47.6770727,-122.2812167
PAST SALE,September-20-2023,Single Family Residential,7357 57th Ave NE,Seattle,WA,98115,1953000,3,2.5,View Ridge,3120,5850,1957,,626,,Sold,,,https://www.redfin.com/WA/Seattle/7357-57th-Ave-NE-98115/home/320857,NWMLS as Distributed by MLS Grid,2159203,N,Y,47.6827913,-122.2672528
PAST SALE,February-16-2023,Condo/Co-op,3300 NE 65th St #227,Seattle,WA,98115,1230000,3,3.0,Bryant,1611,,2017,,764,536,Sold,,,https://www.redfin.com/WA/Seattle/3300-NE-65th-St-98115/unit-227/home/183826847,NWMLS as Distributed by MLS Grid,2028053,N,Y,47.6759434,-122.2921774
PAST SALE,August-22-2023,Single Family Residential,1049 NE 92nd St,Seattle,WA,98115,1000000,3,2.5,Maple Leaf,1510,5473,1924,,662,,Sold,,,https://www.redfin.com/WA/Seattle/1049-NE-92nd-St-98115/home/110616,NWMLS as Distributed by MLS Grid,2141014,N,Y,47.6956337,-122.3155496
PAST SALE,May-31-2023,Townhouse,1718 NE 96th St Unit B,Seattle,WA,98115,729950,3,2.0,Maple Leaf,1082,1965,2023,,675,48,Sold,,,https://www.redfin.com/WA/Seattle/1718-NE-96th-St-98115/unit-B/home/185261082,NWMLS as Distributed by MLS Grid,2061519,N,Y,47.6987268,-122.3087101
PAST SALE,February-24-2023,Single Family Residential,7343 19th Ave NE,Seattle,WA,98115,1165000,3,2.5,Ravenna,1710,3060,1994,,681,,Sold,,,https://www.redfin.com/WA/Seattle/7343-19th-Ave-NE-98115/home/309519,NWMLS as Distributed by MLS Grid,2031943,N,Y,47.6825264,-122.3081753
PAST SALE,May-31-2023,Single Family Residential,6057 29th Ave NE,Seattle,WA,98115,1050000,3,3.0,Bryant,2260,5000,1925,,465,,Sold,,,https://www.redfin.com/WA/Seattle/6057-29th-Ave-NE-98115/home/313215,NWMLS as Distributed by MLS Grid,2064496,N,Y,47.6738325,-122.2966936
PAST SALE,May-10-2023,Single Family Residential,6313 4th Ave NE,Seattle,WA,98115,950000,3,1.5,Green Lake,2370,6000,1907,,401,,Sold,,,https://www.redfin.com/WA/Seattle/6313-4th-Ave-NE-98115/home/306146,NWMLS as Distributed by MLS Grid,2058471,N,Y,47.6747856,-122.3247026
