SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-15-2023,Condo/Co-op,2001 Westlake Ave N #33,Seattle,WA,98109,534900,2,1.0,Westlake,900,,1967,,594,527,Sold,,,https://www.redfin.com/WA/Seattle/2001-Westlake-Ave-N-98109/unit-33/home/19981,NWMLS as Distributed by MLS Grid,2065551,N,Y,47.6368394,-122.3407449
PAST SALE,November-18-2022,Condo/Co-op,160 Lee St #106,Seattle,WA,98109,439900,1,1.0,Queen Anne,630,,1988,,698,349,Sold,,,https://www.redfin.com/WA/Seattle/160-Lee-St-98109/unit-106/home/34600,NWMLS as Distributed by MLS Grid,2007139,N,Y,47.6312527,-122.3540911
PAST SALE,March-22-2023,Condo/Co-op,2001 Westlake Ave N #34,Seattle,WA,98109,528500,2,1.0,Westlake,900,,1967,,587,527,Sold,,,https://www.redfin.com/WA/Seattle/2001-Westlake-Ave-N-98109/unit-34/home/46731,NWMLS as Distributed by MLS Grid,2035242,N,Y,47.6368394,-122.3407449
PAST SALE,April-28-2023,Condo/Co-op,762 Hayes St #44,Seattle,WA,98109,379000,1,1.0,Westlake,657,,1977,,577,518,Sold,,,https://www.redfin.com/WA/Seattle/762-Hayes-St-98109/unit-44/home/14772,NWMLS as Distributed by MLS Grid,2048796,N,Y,47.6341205,-122.3414566
PAST SALE,August-29-2023,Condo/Co-op,2167 Dexter Ave N #202,Seattle,WA,98109,599900,2,2.0,Queen Anne,1025,,1993,,585,430,Sold,,,https://www.redfin.com/WA/Seattle/2167-Dexter-Ave-N-98109/unit-202/home/42887,NWMLS as Distributed by MLS Grid,2134900,N,Y,47.6394353,-122.3444137
PAST SALE,March-28-2023,Condo/Co-op,401 9th Ave N #306,Seattle,WA,98109,525000,1,1.0,South Lake Union,815,,2009,,644,507,Sold,,,https://www.redfin.com/WA/Seattle/401-9th-Ave-N-98109/unit-306/home/21616810,NWMLS as Distributed by MLS Grid,2035657,N,Y,47.6224387,-122.3401218
PAST SALE,August-4-2023,Single Family Residential,407 Wheeler St,Seattle,WA,98109,1625000,4,2.0,Queen Anne,3910,5040,1914,,416,,Sold,,,https://www.redfin.com/WA/Seattle/407-Wheeler-St-98109/home/135007,NWMLS as Distributed by MLS Grid,2127524,N,Y,47.6405488,-122.34917
PAST SALE,October-25-2023,Townhouse,2139 Waverly Pl N,Seattle,WA,98109,1399000,3,4.0,Queen Anne,2021,1572,2013,,692,,Sold,,,https://www.redfin.com/WA/Seattle/2139-Waverly-Pl-N-98109/home/131669,NWMLS as Distributed by MLS Grid,2150368,N,Y,47.6388937,-122.3432855
PAST SALE,October-30-2023,Condo/Co-op,1011 5th Ave N #107,Seattle,WA,98109,690000,3,2.0,Queen Anne,1489,,1985,,463,690,Sold,,,https://www.redfin.com/WA/Seattle/1011-5th-Ave-N-98109/unit-107/home/33918,NWMLS as Distributed by MLS Grid,2160553,N,Y,47.6284581,-122.3479318
PAST SALE,September-29-2023,Condo/Co-op,2145 Dexter Ave N #304,Seattle,WA,98109,510000,1,2.0,Lake Union,910,,1985,,560,611,Sold,,,https://www.redfin.com/WA/Seattle/2145-Dexter-Ave-N-98109/unit-304/home/7496,NWMLS as Distributed by MLS Grid,2148295,N,Y,47.6386753,-122.3443041
PAST SALE,June-8-2023,Condo/Co-op,1525 Taylor Ave N #303,Seattle,WA,98109,408000,2,1.0,Queen Anne,687,,1960,,594,495,Sold,,,https://www.redfin.com/WA/Seattle/1525-Taylor-Ave-N-98109/unit-303/home/36991,NWMLS as Distributed by MLS Grid,2057216,N,Y,47.6327939,-122.3461204
PAST SALE,August-28-2023,Condo/Co-op,124 Warren Ave N #102,Seattle,WA,98109,320000,1,1.0,Queen Anne,571,,1930,,560,495,Sold,,,https://www.redfin.com/WA/Seattle/124-Warren-Ave-N-98109/unit-102/home/12092092,NWMLS as Distributed by MLS Grid,2133276,N,Y,47.6194123,-122.3537784
PAST SALE,March-29-2023,Condo/Co-op,1234 Taylor Ave N #104,Seattle,WA,98109,382000,1,1.0,Queen Anne,718,,1969,,532,415,Sold,,,https://www.redfin.com/WA/Seattle/1234-Taylor-Ave-N-98109/unit-104/home/61546,NWMLS as Distributed by MLS Grid,2033315,N,Y,47.6307432,-122.3458985
PAST SALE,October-6-2023,Condo/Co-op,201 Galer St #304,Seattle,WA,98109,569999,1,1.0,Queen Anne,690,,1908,,826,763,Sold,,,https://www.redfin.com/WA/Seattle/201-Galer-St-98109/unit-304/home/11761610,NWMLS as Distributed by MLS Grid,2142127,N,Y,47.6320735,-122.35198
PAST SALE,September-21-2023,Condo/Co-op,1000 Aurora Ave N #603,Seattle,WA,98109,715000,2,2.0,Westlake,1165,,1999,,614,1002,Sold,,,https://www.redfin.com/WA/Seattle/1000-Aurora-Ave-N-98109/unit-603/home/33650,NWMLS as Distributed by MLS Grid,2062812,N,Y,47.6282339,-122.3431942
PAST SALE,April-27-2023,Condo/Co-op,699 John St #308,Seattle,WA,98109,380000,1,1.0,South Lake Union,557,,2009,,682,481,Sold,,,https://www.redfin.com/WA/Seattle/699-John-St-98109/unit-308/home/28622721,NWMLS as Distributed by MLS Grid,2016700,N,Y,47.6196339,-122.3439681
PAST SALE,September-6-2023,Condo/Co-op,699 John St #710,Seattle,WA,98109,367450,1,1.0,South Lake Union,554,,2009,,663,488,Sold,,,https://www.redfin.com/WA/Seattle/699-John-St-98109/unit-710/home/28624301,NWMLS as Distributed by MLS Grid,2026538,N,Y,47.6196339,-122.3439681
PAST SALE,June-5-2023,Condo/Co-op,1219 6th Ave N #103,Seattle,WA,98109,385000,1,1.0,Queen Anne,531,,1996,,725,394,Sold,,,https://www.redfin.com/WA/Seattle/1219-6th-Ave-N-98109/unit-103/home/72282,NWMLS as Distributed by MLS Grid,2078011,N,Y,47.6305205,-122.3452451
PAST SALE,April-26-2023,Condo/Co-op,2121 Westlake Ave N #401,Seattle,WA,98109,900000,2,2.0,Westlake,1306,,1984,,689,502,Sold,,,https://www.redfin.com/WA/Seattle/2121-Westlake-Ave-N-98109/unit-401/home/7841,NWMLS as Distributed by MLS Grid,2060800,N,Y,47.6388596,-122.341613
PAST SALE,June-27-2023,Condo/Co-op,201 Galer St #528,Seattle,WA,98109,878750,2,2.0,Queen Anne,1107,,1908,,794,1000,Sold,,,https://www.redfin.com/WA/Seattle/201-Galer-St-98109/unit-528/home/11761632,NWMLS as Distributed by MLS Grid,2133282,N,Y,47.6319635,-122.3520375
PAST SALE,December-30-2022,Townhouse,2440 Dexter Ave N,Seattle,WA,98109,900000,3,2.0,Queen Anne,1540,900,2022,,584,189,Sold,,,https://www.redfin.com/WA/Seattle/2440-Dexter-Ave-N-98109/home/132003,NWMLS as Distributed by MLS Grid,2023301,N,Y,47.6407589,-122.3441673
PAST SALE,September-14-2023,Townhouse,1017 A 6th Ave N,Seattle,WA,98109,1070000,3,2.0,Queen Anne,1473,937,2023,,726,,Sold,,,https://www.redfin.com/WA/Seattle/1017-6th-Ave-N-98109/unit-A/home/132118,NWMLS as Distributed by MLS Grid,2149184,N,Y,47.6285164,-122.345227
PAST SALE,January-12-2023,Townhouse,2446 Dexter Ave N,Seattle,WA,98109,955000,3,2.0,Queen Anne,1540,900,2022,,620,189,Sold,,,https://www.redfin.com/WA/Seattle/2446-Dexter-Ave-N-98109/home/183416043,NWMLS as Distributed by MLS Grid,2023176,N,Y,47.6407805,-122.3442593
PAST SALE,November-22-2022,Townhouse,617 Wheeler St,Seattle,WA,98109,1450000,3,2.0,Queen Anne,1606,900,2022,,903,,Sold,,,https://www.redfin.com/WA/Seattle/617-Wheeler-St-98109/home/88661711,NWMLS as Distributed by MLS Grid,2000210,N,Y,47.6406872,-122.3438553
PAST SALE,December-30-2022,Townhouse,2442 Dexter Ave N,Seattle,WA,98109,925000,3,2.0,Queen Anne,1540,900,2022,,601,189,Sold,,,https://www.redfin.com/WA/Seattle/2442-Dexter-Ave-N-98109/home/181864133,NWMLS as Distributed by MLS Grid,2023387,N,Y,47.6407153,-122.3442379
PAST SALE,December-22-2022,Townhouse,623 Wheeler St,Seattle,WA,98109,1300000,3,2.0,Queen Anne,1606,900,2022,,809,,Sold,,,https://www.redfin.com/WA/Seattle/623-Wheeler-St-98109/home/178990339,NWMLS as Distributed by MLS Grid,1914542,N,Y,47.6408135,-122.3439096
PAST SALE,,Single Family Residential,107 Lynn St,Seattle,WA,98109,960000,2,1.0,,1040,4000,1911,,923,,,,,https://www.redfin.com/WA/Seattle/107-Lynn-St-98109/home/132362,,,N,Y,47.6389216,-122.3552464
PAST SALE,,Single Family Residential,452 Boston St,Seattle,WA,98109,1990000,3,2.0,,3110,3900,1923,,640,,,,,https://www.redfin.com/WA/Seattle/452-Boston-St-98109/home/132718,,,N,Y,47.6384247,-122.3480266
PAST SALE,August-25-2023,Townhouse,172 Galer St,Seattle,WA,98109,1352000,3,2.0,Queen Anne,1741,1062,2022,,777,,Sold,,,https://www.redfin.com/WA/Seattle/172-Galer-St-98109/home/178442153,NWMLS as Distributed by MLS Grid,2155128,N,Y,47.6325533,-122.3536264
PAST SALE,May-31-2023,Single Family Residential,1716 Nob Hill Ave N,Seattle,WA,98109,755000,1,1.0,Queen Anne,770,2545,1906,,981,,Sold,,,https://www.redfin.com/WA/Seattle/1716-Nob-Hill-Ave-N-98109/home/52400255,NWMLS as Distributed by MLS Grid,2101851,N,Y,47.6345587,-122.3502335
PAST SALE,April-20-2023,Townhouse,171 Valley St #3,Seattle,WA,98109,1380000,3,3.5,Queen Anne,2262,1200,2022,,610,,Sold,,,https://www.redfin.com/WA/Seattle/171-Valley-St-98109/unit-3/home/184510831,NWMLS as Distributed by MLS Grid,2032712,N,Y,47.6261374,-122.353124
PAST SALE,March-28-2023,Townhouse,165 Valley St,Seattle,WA,98109,1450950,3,3.5,Queen Anne,2262,1409,2022,,641,,Sold,,,https://www.redfin.com/WA/Seattle/165-Valley-St-98109/home/180083786,NWMLS as Distributed by MLS Grid,2032713,N,Y,47.6261105,-122.3533731
PAST SALE,January-3-2023,Townhouse,1518 Bigelow Ave N,Seattle,WA,98109,1499000,4,3.5,Queen Anne,2141,1423,2022,,700,,Sold,,,https://www.redfin.com/WA/Seattle/1518-Bigelow-Ave-N-98109/home/178434673,NWMLS as Distributed by MLS Grid,2023417,N,Y,47.6328955,-122.3480708
PAST SALE,,Condo/Co-op,160 Lee St #110,Seattle,WA,98109,430000,1,1.0,,539,,1988,,798,,,,,https://www.redfin.com/WA/Seattle/160-Lee-St-98109/unit-110/home/43371,,,N,Y,47.6312527,-122.3540911
PAST SALE,,Condo/Co-op,1417 Queen Anne Ave N #201,Seattle,WA,98109,580000,1,1.5,,973,,1996,,596,,,,,https://www.redfin.com/WA/Seattle/1417-Queen-Anne-Ave-N-98109/unit-201/home/19945,,,N,Y,47.6319104,-122.3570757
PAST SALE,December-22-2022,Townhouse,607 Wheeler St,Seattle,WA,98109,900000,2,2.0,Queen Anne,1228,900,2022,,733,,Sold,,,https://www.redfin.com/WA/Seattle/607-Wheeler-St-98109/home/181841805,NWMLS as Distributed by MLS Grid,1997735,N,Y,47.6406294,-122.3440825
