SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-15-2023,Single Family Residential,4226 48th Ave S,Seattle,WA,98118,1450000,4.0,3.5,Lakewood,2650.0,5600.0,1940.0,,547.0,,Sold,,,https://www.redfin.com/WA/Seattle/4226-48th-Ave-S-98118/home/488388,NWMLS as Distributed by MLS Grid,2028253.0,N,Y,47.5644451,-122.272961
PAST SALE,June-14-2023,Single Family Residential,9666 54th Ave S,Seattle,WA,98118,950000,4.0,2.5,Rainier Beach,1770.0,5850.0,2017.0,,537.0,,Sold,,,https://www.redfin.com/WA/Seattle/9666-54th-Ave-S-98118/home/22480084,NWMLS as Distributed by MLS Grid,2051965.0,N,Y,47.5149783,-122.2650269
PAST SALE,May-23-2023,Single Family Residential,4614 S Ferdinand St,Seattle,WA,98118,1361000,4.0,3.0,Columbia City,2620.0,5400.0,1965.0,,519.0,,Sold,,,https://www.redfin.com/WA/Seattle/4614-S-Ferdinand-St-98118/home/492894,NWMLS as Distributed by MLS Grid,2056629.0,N,Y,47.5584155,-122.2750052
PAST SALE,July-13-2023,Single Family Residential,5133 S Findlay St,Seattle,WA,98118,1167000,4.0,3.0,Seward Park,2490.0,5000.0,1914.0,,469.0,,Sold,,,https://www.redfin.com/WA/Seattle/5133-S-Findlay-St-98118/home/491533,NWMLS as Distributed by MLS Grid,2069852.0,N,Y,47.5517018,-122.2684892
PAST SALE,August-16-2023,Single Family Residential,8620 Renton Ave S,Seattle,WA,98118,625000,4.0,2.0,Rainier Valley,1630.0,4266.0,1955.0,,383.0,,Sold,,,https://www.redfin.com/WA/Seattle/8620-Renton-Ave-S-98118/home/174117,NWMLS as Distributed by MLS Grid,2134931.0,N,Y,47.5254715,-122.276483
PAST SALE,October-13-2023,Single Family Residential,7412 45th Ave S,Seattle,WA,98118,844000,4.0,3.0,Brighton,1613.0,5450.0,1971.0,,523.0,,Sold,,,https://www.redfin.com/WA/Seattle/7412-45th-Ave-S-98118/home/175079,NWMLS as Distributed by MLS Grid,2150510.0,N,Y,47.535681,-122.276375
PAST SALE,October-4-2023,Single Family Residential,4849 S Orcas St,Seattle,WA,98118,900000,4.0,2.0,Seward Park,2790.0,5150.0,1942.0,,323.0,,Sold,,,https://www.redfin.com/WA/Seattle/4849-S-Orcas-St-98118/home/491934,NWMLS as Distributed by MLS Grid,2159298.0,N,Y,47.5509591,-122.2705794
PAST SALE,January-30-2023,Single Family Residential,4918 48th Ave S,Seattle,WA,98118,825000,4.0,2.0,Lakewood,2120.0,7200.0,1964.0,,389.0,,Sold,,,https://www.redfin.com/WA/Seattle/4918-48th-Ave-S-98118/home/491458,NWMLS as Distributed by MLS Grid,2020014.0,N,Y,47.5575787,-122.2729085
PAST SALE,June-20-2023,Single Family Residential,4321 S Holly St,Seattle,WA,98118,897000,4.0,2.5,Hillman City,1860.0,2350.0,2023.0,,482.0,,Sold,,,https://www.redfin.com/WA/Seattle/4321-S-Holly-St-98118/home/182044232,NWMLS as Distributed by MLS Grid,2060291.0,N,Y,47.5420834,-122.2788717
PAST SALE,March-29-2023,Single Family Residential,4721 S Dawson St,Seattle,WA,98118,1266000,4.0,2.0,Columbia City,2500.0,7280.0,1961.0,,506.0,,Sold,,,https://www.redfin.com/WA/Seattle/4721-S-Dawson-St-98118/home/491658,NWMLS as Distributed by MLS Grid,2036457.0,N,Y,47.5550026,-122.273488
PAST SALE,June-7-2023,Single Family Residential,9841 63rd Ave S,Seattle,WA,98118,1272000,5.0,3.0,Upper Rainier Beach,2942.0,7910.0,1904.0,,432.0,,Sold,,,https://www.redfin.com/WA/Seattle/9841-63rd-Ave-S-98118/home/176342,NWMLS as Distributed by MLS Grid,2063514.0,N,Y,47.5121169,-122.2549743
PAST SALE,June-30-2023,Single Family Residential,9670 54th Ave S,Seattle,WA,98118,950000,4.0,2.5,Rainier Beach,1770.0,6510.0,2018.0,,537.0,,Sold,,,https://www.redfin.com/WA/Seattle/9670-54th-Ave-S-98118/home/175980,NWMLS as Distributed by MLS Grid,2063496.0,N,Y,47.5148813,-122.2651995
PAST SALE,May-17-2023,Single Family Residential,6310 52nd Ave S,Seattle,WA,98118,1575000,5.0,3.5,Seward Park,3900.0,14000.0,1903.0,,404.0,,Sold,,,https://www.redfin.com/WA/Seattle/6310-52nd-Ave-S-98118/home/491634,NWMLS as Distributed by MLS Grid,2057269.0,N,Y,47.5457411,-122.2669217
PAST SALE,July-13-2023,Single Family Residential,4402 41st Ave S,Seattle,WA,98118,1050000,4.0,2.0,Columbia City,2208.0,6400.0,1946.0,,476.0,,Sold,,,https://www.redfin.com/WA/Seattle/4402-41st-Ave-S-98118/home/492562,NWMLS as Distributed by MLS Grid,2127963.0,N,Y,47.5639882,-122.2814816
PAST SALE,April-18-2023,Single Family Residential,4814 52nd Ave S,Seattle,WA,98118,1432000,4.0,2.0,Seward Park,2140.0,10800.0,1939.0,,669.0,,Sold,,,https://www.redfin.com/WA/Seattle/4814-52nd-Ave-S-98118/home/490497,NWMLS as Distributed by MLS Grid,2043720.0,N,Y,47.5589252,-122.2678112
PAST SALE,July-11-2023,Single Family Residential,4217 34th Ave S,Seattle,WA,98118,875000,4.0,2.0,Columbia City,1500.0,3000.0,1903.0,,583.0,,Sold,,,https://www.redfin.com/WA/Seattle/4217-34th-Ave-S-98118/home/172365,NWMLS as Distributed by MLS Grid,2071464.0,N,Y,47.5649024,-122.2909797
PAST SALE,September-26-2023,Single Family Residential,6035 Oakhurst Rd S,Seattle,WA,98118,1601000,5.0,3.0,Seward Park,3440.0,9800.0,1957.0,,465.0,,Sold,,,https://www.redfin.com/WA/Seattle/6035-Oakhurst-Rd-S-98118/home/490788,NWMLS as Distributed by MLS Grid,2158568.0,N,Y,47.5481393,-122.2624203
PAST SALE,October-26-2023,Single Family Residential,5715 51st Ave S,Seattle,WA,98118,660000,4.0,1.0,Seward Park,1760.0,5887.0,1912.0,,375.0,,Sold,,,https://www.redfin.com/WA/Seattle/5715-51st-Ave-S-98118/home/493088,NWMLS as Distributed by MLS Grid,2166668.0,N,Y,47.5506535,-122.2701919
