SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-22-2023,Single Family Residential,12069 30th Ave SW,Burien,WA,98146,3275000,4,4.5,Burien,4220,25537,1976,,776,,Sold,,,https://www.redfin.com/WA/Burien/12069-30th-Ave-SW-98146/home/332816,NWMLS as Distributed by MLS Grid,2166392,N,Y,47.4943763,-122.3713503
PAST SALE,December-21-2022,Single Family Residential,804 SW 118th St,Seattle,WA,98146,485000,5,3.0,Seattle,1920,10240,1959,,253,,Sold,,,https://www.redfin.com/WA/Seattle/804-SW-118th-St-98146/home/181223,NWMLS as Distributed by MLS Grid,2013828,N,Y,47.4976919,-122.3446497
PAST SALE,May-1-2023,Single Family Residential,10853 10th Ave SW,Seattle,WA,98146,700000,3,1.5,White Center,1450,7627,1957,,483,,Sold,,,https://www.redfin.com/WA/Seattle/10853-10th-Ave-SW-98146/home/181191,NWMLS as Distributed by MLS Grid,2054293,N,Y,47.505046,-122.3475614
PAST SALE,May-24-2023,Single Family Residential,11108 4th Pl SW,Seattle,WA,98146,849000,4,2.5,Shorewood,2420,4336,2015,,351,93,Sold,,,https://www.redfin.com/WA/Seattle/11108-4th-Pl-SW-98146/home/55551196,NWMLS as Distributed by MLS Grid,2056502,N,Y,47.5042058,-122.3394531
PAST SALE,December-22-2022,Single Family Residential,825 SW 116th St,Seattle,WA,98146,599000,3,2.0,North Burien,1230,10352,1961,,487,,Sold,,,https://www.redfin.com/WA/Seattle/825-SW-116th-St-98146/home/181224,NWMLS as Distributed by MLS Grid,2015674,N,Y,47.4990899,-122.3453142
PAST SALE,June-14-2023,Single Family Residential,11564 30th Pl SW,Burien,WA,98146,914000,4,2.0,Shorewood,2130,9100,1955,,429,,Sold,,,https://www.redfin.com/WA/Burien/11564-30th-Pl-SW-98146/home/332470,NWMLS as Distributed by MLS Grid,2071341,N,Y,47.4998281,-122.370593
PAST SALE,May-30-2023,Single Family Residential,10247 41st Ave SW,Seattle,WA,98146,599950,2,1.0,Arbor Heights,1210,5332,1915,,496,,Sold,,,https://www.redfin.com/WA/Seattle/10247-41st-Ave-SW-98146/home/155975,NWMLS as Distributed by MLS Grid,2055481,N,Y,47.5108733,-122.3848757
PAST SALE,May-26-2023,Single Family Residential,10835 Arroyo Beach Pl SW,Seattle,WA,98146,1888000,4,3.5,Arroyo,2400,20010,1999,,787,,Sold,,,https://www.redfin.com/WA/Seattle/10835-Arroyo-Beach-Pl-SW-98146/home/157805,NWMLS as Distributed by MLS Grid,2061378,N,Y,47.5055563,-122.3889883
PAST SALE,August-1-2023,Single Family Residential,219 SW 108th St,Seattle,WA,98146,670000,3,1.5,Top Hat,1090,5100,1966,,615,,Sold,,,https://www.redfin.com/WA/Seattle/219-SW-108th-St-98146/home/182916,NWMLS as Distributed by MLS Grid,2071771,N,Y,47.5064962,-122.3372738
PAST SALE,September-29-2023,Single Family Residential,323 SW 108th St,Seattle,WA,98146,289000,2,1.0,White Center,1040,4000,1933,,278,,Sold,,,https://www.redfin.com/WA/Seattle/323-SW-108th-St-98146/home/183194,NWMLS as Distributed by MLS Grid,2153628,N,Y,47.5064515,-122.3387703
PAST SALE,October-2-2023,Single Family Residential,632 SW 126th St,Seattle,WA,98146,580000,3,2.0,Burien,1340,8190,1942,,433,,Sold,,,https://www.redfin.com/WA/Seattle/632-SW-126th-St-98146/home/181593,NWMLS as Distributed by MLS Grid,2148323,N,Y,47.4905532,-122.3432617
PAST SALE,December-1-2022,Condo/Co-op,114 SW 116th St Unit B15,Seattle,WA,98146,312500,2,1.0,North Burien,903,,1982,,346,465,Sold,,,https://www.redfin.com/WA/Seattle/114-SW-116th-St-98146/unit-B15/home/17071379,NWMLS as Distributed by MLS Grid,1994463,N,Y,47.4999379,-122.3351259
PAST SALE,May-1-2023,Single Family Residential,10245 26th Ave SW,Seattle,WA,98146,860000,3,2.5,Seattle,1900,5481,2013,,453,,Sold,,,https://www.redfin.com/WA/Seattle/10245-26th-Ave-SW-98146/home/40622883,NWMLS as Distributed by MLS Grid,2039710,N,Y,47.5109338,-122.3661441
PAST SALE,,Single Family Residential,10233 28th Ave SW,Seattle,WA,98146,590000,1,1.0,,580,22963,1922,,1017,,,,,https://www.redfin.com/WA/Seattle/10233-28th-Ave-SW-98146/home/180096,,,N,Y,47.5113828,-122.3686457
PAST SALE,,Single Family Residential,13256 5th Ave SW,Burien,WA,98146,400000,3,1.0,,1130,4045,1950,,354,,,,,https://www.redfin.com/WA/Burien/13256-5th-Ave-SW-98146/home/184518,,,N,Y,47.4832181,-122.3399919
PAST SALE,December-14-2022,Vacant Land,11636 4th Ave SW,Seattle,WA,98146,775000,,,North Burien,,30282,,,,,Sold,,,https://www.redfin.com/WA/Seattle/11636-4th-Ave-SW-98146/home/182159,NWMLS as Distributed by MLS Grid,1979708,N,Y,47.4982735,-122.3382859
PAST SALE,,Single Family Residential,10703 27th Ave SW,Seattle,WA,98146,590000,3,1.0,,1370,11850,1958,,431,,,,,https://www.redfin.com/WA/Seattle/10703-27th-Ave-SW-98146/home/179513,,,N,Y,47.5071595,-122.367268
PAST SALE,May-2-2023,Single Family Residential,947 130th St,Burien,WA,98146,477500,2,1.0,Burien,870,10464,1948,,549,,Sold,,,https://www.redfin.com/WA/Burien/947-SW-130th-St-98146/home/183799,NWMLS as Distributed by MLS Grid,2063895,N,Y,47.4863187,-122.3473428
PAST SALE,,Single Family Residential,10508 32nd Ave SW,Seattle,WA,98146,775713,3,1.5,,1580,7260,1955,,491,,,,,https://www.redfin.com/WA/Seattle/10508-32nd-Ave-SW-98146/home/154896,,,N,Y,47.5087315,-122.3731174
PAST SALE,March-8-2023,Townhouse,12434 Ambaum Blvd SW #216,Burien,WA,98146,175000,1,1.0,Burien,492,,1983,,356,356,Sold,,,https://www.redfin.com/WA/Seattle/12434-Ambaum-Blvd-SW-98146/unit-216/home/45895,NWMLS as Distributed by MLS Grid,2043715,N,Y,47.4910878,-122.3492198
