SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-7-2023,Condo/Co-op,9500 Rainier Ave S #103,Seattle,WA,98118,469000,2,1.5,Dunlap,904,,1967,,519,624,Sold,,,https://www.redfin.com/WA/Seattle/9500-Rainier-Ave-S-98118/unit-103/home/19859,NWMLS as Distributed by MLS Grid,2137854,N,Y,47.5212626,-122.2612942
PAST SALE,October-26-2023,Single Family Residential,9370 57th Ave S,Seattle,WA,98118,540000,3,1.5,Rainier Beach,1130,5250,1951,,478,,Sold,,,https://www.redfin.com/WA/Seattle/9370-57th-Ave-S-98118/home/175968,NWMLS as Distributed by MLS Grid,2175686,N,Y,47.5169371,-122.2613778
PAST SALE,July-19-2023,Single Family Residential,8411 48th Ave S,Seattle,WA,98118,670000,3,2.0,Dunlap,1170,5450,1902,,573,,Sold,,,https://www.redfin.com/WA/Seattle/8411-48th-Ave-S-98118/home/174912,NWMLS as Distributed by MLS Grid,2077615,N,Y,47.5275812,-122.2731714
PAST SALE,April-4-2023,Townhouse,5026 35th Ave S,Seattle,WA,98118,785000,3,3.0,Columbia City,1610,1158,2016,,488,,Sold,,,https://www.redfin.com/WA/Seattle/5026-35th-Ave-S-98118/home/109084155,NWMLS as Distributed by MLS Grid,2044325,N,Y,47.5563713,-122.2888425
PAST SALE,May-22-2023,Townhouse,4843 S Chicago St,Seattle,WA,98118,499000,2,2.0,Brighton,1100,1060,2013,,454,20,Sold,,,https://www.redfin.com/WA/Seattle/4843-S-Chicago-St-98118/home/52400512,NWMLS as Distributed by MLS Grid,2060518,N,Y,47.5323993,-122.270845
PAST SALE,July-28-2023,Single Family Residential,3947 S Warsaw St,Seattle,WA,98118,550000,2,2.0,Brighton,1060,5000,1947,,519,,Sold,,,https://www.redfin.com/WA/Seattle/3947-S-Warsaw-St-98118/home/173524,NWMLS as Distributed by MLS Grid,2077259,N,Y,47.5429869,-122.2812495
PAST SALE,June-5-2023,Single Family Residential,4117 34th Ave S,Seattle,WA,98118,900000,3,2.0,Columbia City,1230,4500,1905,,732,,Sold,,,https://www.redfin.com/WA/Seattle/4117-34th-Ave-S-98118/home/172411,NWMLS as Distributed by MLS Grid,2051925,N,Y,47.5656357,-122.2911937
PAST SALE,July-17-2023,Single Family Residential,3304 S Holly Pl,Seattle,WA,98118,515000,2,1.5,Holly Park,1250,2208,2004,,412,400,Sold,,,https://www.redfin.com/WA/Seattle/3304-S-Holly-Pl-98118/home/18662292,NWMLS as Distributed by MLS Grid,2073519,N,Y,47.5423321,-122.2898524
PAST SALE,January-12-2023,Single Family Residential,4827 S Lucile St,Seattle,WA,98118,1300000,3,3.5,Seward Park,2520,3090,2012,,516,,Sold,,,https://www.redfin.com/WA/Seattle/4827-S-Lucile-St-98118/home/2101317,NWMLS as Distributed by MLS Grid,2017753,N,Y,47.5524259,-122.2713855
PAST SALE,May-25-2023,Townhouse,4921 39th Ave S,Seattle,WA,98118,620000,1,1.5,Columbia City,1200,653,2007,,517,,Sold,,,https://www.redfin.com/WA/Seattle/4921-39th-Ave-S-98118/home/12318066,NWMLS as Distributed by MLS Grid,2044312,N,Y,47.5573978,-122.2838586
PAST SALE,September-28-2023,Single Family Residential,4522 50th Ave S,Seattle,WA,98118,903000,3,3.0,Seward Park,2320,4800,1964,,389,,Sold,,,https://www.redfin.com/WA/Seattle/4522-50th-Ave-S-98118/home/489613,NWMLS as Distributed by MLS Grid,2142321,N,Y,47.5622085,-122.2704208
PAST SALE,July-26-2023,Townhouse,5956 36th Ave S Unit D,Seattle,WA,98118,556000,2,2.0,Beacon Hill,1160,1010,2018,,479,,Sold,,,https://www.redfin.com/WA/Seattle/5956-36th-Ave-S-98118/unit-D/home/170476061,NWMLS as Distributed by MLS Grid,2048031,N,Y,47.5482565,-122.2874989
PAST SALE,June-30-2023,Townhouse,4087 Letitia Ave S Unit D,Seattle,WA,98118,897000,3,3.5,Columbia City,1822,1503,2023,,492,,Sold,,,https://www.redfin.com/WA/Seattle/4087-Letitia-Ave-S-98118/unit-D/home/185882936,NWMLS as Distributed by MLS Grid,2131292,N,Y,47.5657984,-122.2901302
PAST SALE,,Single Family Residential,3869 Rainier Ave S,Seattle,WA,98118,360000,1,1.0,,500,2976,1906,,720,,,,,https://www.redfin.com/WA/Seattle/3869-Rainier-Ave-S-98118/home/172383,,,N,Y,47.5680261,-122.2897125
PAST SALE,April-28-2023,Townhouse,9320 Renton Ave S,Seattle,WA,98118,525000,2,2.0,Upper Rainier Beach,1095,6741,2022,,479,,Sold,,,https://www.redfin.com/WA/Seattle/9320-Renton-Ave-S-98118/home/180541820,NWMLS as Distributed by MLS Grid,2072878,N,Y,47.5185331,-122.2709396
PAST SALE,May-15-2023,Townhouse,4743 35th Ave S,Seattle,WA,98118,850000,3,3.0,Columbia City,1540,1373,2016,,552,,Sold,,,https://www.redfin.com/WA/Seattle/4743-35th-Ave-S-98118/home/109083142,NWMLS as Distributed by MLS Grid,2068710,N,Y,47.5596176,-122.289172
PAST SALE,April-5-2023,Single Family Residential,4127 48th Ave S,Seattle,WA,98118,715000,1,1.0,Lakewood,1120,7200,1947,,638,,Sold,,,https://www.redfin.com/WA/Seattle/4127-48th-Ave-S-98118/home/488615,NWMLS as Distributed by MLS Grid,2052899,N,Y,47.5656227,-122.2735667
PAST SALE,,Single Family Residential,5714 39th Ave S,Seattle,WA,98118,530000,1,1.0,,820,5100,1909,,646,,,,,https://www.redfin.com/WA/Seattle/5714-39th-Ave-S-98118/home/173747,,,N,Y,47.5507542,-122.2831885
PAST SALE,,Single Family Residential,3934B S Edmunds St Unit B,Seattle,WA,98118,580000,2,1.0,,1370,6600,1914,,423,,,,,https://www.redfin.com/WA/Seattle/3934B-S-Edmunds-St-98118/unit-B/home/491707,,,N,Y,47.5588324,-122.2819699
PAST SALE,December-13-2022,Townhouse,4728 38th Ave S,Seattle,WA,98118,839950,3,2.5,Columbia City,1563,1950,2022,,537,0,Sold,,,https://www.redfin.com/WA/Seattle/4728-38th-Ave-S-98118/home/181074194,NWMLS as Distributed by MLS Grid,1983794,N,Y,47.559968,-122.284153
