SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-16-2023,Single Family Residential,7348 27th Ave NW,Seattle,WA,98117,985000,4,2.0,Loyal Heights,1650,4360,1941,,597,,Sold,,,https://www.redfin.com/WA/Seattle/7348-27th-Ave-NW-98117/home/165904,NWMLS as Distributed by MLS Grid,2060748,N,Y,47.6827758,-122.3905815
PAST SALE,June-9-2023,Single Family Residential,2818 NW 69th St,Seattle,WA,98117,1625000,4,3.0,Sunset Hill,2380,5000,1928,,683,,Sold,,,https://www.redfin.com/WA/Seattle/2818-NW-69th-St-98117/home/165857,NWMLS as Distributed by MLS Grid,2058138,N,Y,47.6789113,-122.3938577
PAST SALE,June-15-2023,Single Family Residential,9530 15th Ave NW,Seattle,WA,98117,1300000,4,3.0,Crown Hill,2470,9576,1930,,526,,Sold,,,https://www.redfin.com/WA/Seattle/9530-15th-Ave-NW-98117/home/96673,NWMLS as Distributed by MLS Grid,2062317,N,Y,47.698864,-122.3764449
PAST SALE,,Single Family Residential,8534 16th Ave NW,Seattle,WA,98117,1350000,5,3.5,,3430,4000,2007,,394,,,,,https://www.redfin.com/WA/Seattle/8534-16th-Ave-NW-98117/home/12303123,,,N,Y,47.6917432,-122.3775907
PAST SALE,November-18-2022,Single Family Residential,113 NW 76th St,Seattle,WA,98107,3150000,6,3.5,Phinney Ridge,3785,5150,2022,,832,,Sold,,,https://www.redfin.com/WA/Seattle/113-NW-76th-St-98117/home/497736,NWMLS as Distributed by MLS Grid,2018486,N,Y,47.6838172,-122.3586453
PAST SALE,September-29-2023,Single Family Residential,6529 6th Ave NW,Seattle,WA,98117,1513000,4,3.0,Ballard,2660,4820,1925,,569,,Sold,,,https://www.redfin.com/WA/Seattle/6529-6th-Ave-NW-98117/home/498728,NWMLS as Distributed by MLS Grid,2168219,N,Y,47.6768292,-122.3637754
PAST SALE,March-7-2023,Single Family Residential,8037 25th Ave NW,Seattle,WA,98117,1675000,4,3.5,Loyal Heights,2824,3880,2022,,593,75,Sold,,,https://www.redfin.com/WA/Seattle/8037-25th-Ave-NW-98117/home/182313921,NWMLS as Distributed by MLS Grid,2034753,N,Y,47.6879166,-122.3889738
PAST SALE,April-27-2023,Single Family Residential,8512 12th Ave NW,Seattle,WA,98117,1660000,4,3.5,Crown Hill,2980,4648,2016,,557,,Sold,,,https://www.redfin.com/WA/Seattle/8512-12th-Ave-NW-98117/home/101306,NWMLS as Distributed by MLS Grid,2048693,N,Y,47.6911502,-122.3711662
PAST SALE,November-30-2022,Single Family Residential,7359 Dibble Ave NW,Seattle,WA,98117,1530000,5,3.5,Whittier,3075,2750,2005,,498,,Sold,,,https://www.redfin.com/WA/Seattle/7359-Dibble-Ave-NW-98117/home/17065653,NWMLS as Distributed by MLS Grid,2014928,N,Y,47.6831379,-122.367574
PAST SALE,May-1-2023,Single Family Residential,8724 29th Ave NW,Seattle,WA,98117,1280000,4,2.0,North Beach,2340,9150,1956,,547,,Sold,,,https://www.redfin.com/WA/Seattle/8724-29th-Ave-NW-98117/home/163766,NWMLS as Distributed by MLS Grid,2049078,N,Y,47.6927754,-122.3938272
